smiles,LogS
CSc1nc(NC(C)C)nc(n1)NC(C)C,-4.0999999
OC[C@H]1O[C@H](C(C1O)O)n1cnc2c1ncnc2SC.O,-2.857678607
CCN(CCCC(Nc1ccc(c2c1NCCC2)OC)C)CC.Cl,-4.274928401
OC(=O)Cc1ccc(c(c1)Cl)O,-0.946608237
CCCCC(c1ccccc1)O,-2.246503763
O=C1CC=NC=N1,0.58999997
OC(COc1cccc2c1cc[nH]2)CNC(C)C	,-3.79
CCCCCCOc1ccccc1NC(=O)OCC[NH+]1CCCCC1.[Cl-],-5.293807869
COc1ccc(cc1)C1SCCCS1,-4.175807408
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2C(=O)/C(=C/NN4CCN(CC4)C)/C(=C(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,-2.769246997
CN1C[C@@H]2C[C@H](C1)c1n(C2)c(=O)ccc1.I,-1.34240307
CCN1CCCC(C1)OC(=O)Nc1ccc(cc1)Br,-4.131027102
COc1cc(/C=C/C(=O)Nc2ccccc2C(=O)O)ccc1OC,-5.531502799
Clc1ccc2c(c1)N(C(=O)CC(=O)N2C)c1ccccc1,-3.203805288
[O-]C(=O)C.[O-]C(=O)C.[Co+2],0.000438928
O=C(Nc1ccccc1C)Nc1ncco1,-2.796586329
Cc1ccc2c(c1)c(C)cc(n2)SCCCCCN1CSCC1.Cl.Cl,-5.446606551
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](c1ccnc2c1cc(OC)cc2)O.Cl.Cl,-0.397765163
C1CCC=CCC1,-3.1800001
Oc1nc(N)c2c(n1)nc[nH]2,-3.4000001
CCc1cn(c(n1)[N+](=O)[O-])C,-1.970663286
OC(=O)Cc1ccc2c(c1)nc(s2)c1ccc(cc1)N(C)C,-4.110877573
COc1ccc2c(c1CN1CCOCC1)oc(c(c2=O)C)C,-2.358103811
CC(C(c1ccc(c(c1)O)O)O)N.Cl,0.658239155
O=C1c2ccccc2c2c3c1cccc3c(cc2)Br,-7.359852326
CCC(C(=O)O[C@H]1C[C@@H](C)C=C2[C@H]1[C@@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@H](C=C2)C)(C)C,-7.144651004
CCCCCCCCCCCCCCCCCC[N+](Cc1ccccc1)(C)C.[Cl-],-7.309042832
CCCCNc1ccc(cc1)C(=O)OCCN(C)C.Cl,-0.724274426
N/C(=N\CC1CCCCCCC1)/CSS(=O)(=O)O,-3.746345201
