smiles,LogS
CCC(c1ccccc1)(COC(=O)N)O,-0.92271508
CCCCCCCCCCCCCCCCCC(=O)Nc1ccc(cc1)NC(=O)CCCCCCCCCCCCCCCCC,-17.46845707
C[C@H](c1ccccc1)O,-0.92000002
COc1cc(C=O)cc(c1O)O,-0.918195642
CNCCc1ccccc1.Cl,-0.914543061
CN(CCOc1ccccc1)C,-0.910608609
CCCCCCCCCCCCCCCCCOC(=O)c1ccc(c(c1)N(CCCl)CCCl)C,-13.45141192
OCCNC(=O)/C=C/c1ccccc1,-0.908092303
NC(=NCc1ccccc1)N.CC(=O)O,-0.902362079
COc1ccc(cc1C(C([NH+](C)C)C)O)OC.[Cl-],-0.901475661
CCCCCCCCCCCCCCCCCC(=O)OCC(=O)OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,-11.31996592
CCCCCCCCCCCCCCCCCC(=O)OCC(C(c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,-11.28911114
NC(=O)CNc1ccc(cc1)[As](=O)(O)[O-].[Na+],-0.893012288
OC(=O)Cc1ccccc1,-0.88999999
CCc1ccc(c(c1)CN(C)C)O,-0.88987868
SC/C(=[NH+]\CCc1ccc(c(c1)OC)OC)/N.[Cl-],-0.888415518
NC(=O)c1ccccc1Cl,-0.883178757
OCCN(C(=O)/C=C/c1ccccc1)CCO,-0.880228855
NCCc1cc(OC)ccc1OC.Cl,-0.875446447
O=Cc1ccc(cc1)N,-0.872163443
COc1cc(CC(N)C)cc(c1OC)OC,-0.869436088
COc1ccc(cc1C(C[N+](C)(C)C)C)OC.[Cl-],-0.868061104
CCN([C@H]([C@@H](c1ccccc1)O)C)C.Cl,-0.861564657
O=Cc1ccccc1O,-0.86000001
NC(=O)CNc1ccc(cc1)[As](=O)(O)O,-0.859282501
OC(=O)CNC(=O)c1ccccc1O,-0.85617251
Cc1ccccc1N,-0.85000002
Cc1cccc(c1)N,-0.85000002
COc1ccc(cc1CC([N+](C)(C)C)C)OC.[Cl-],-0.836462118
CC(COc1ccc(cc1)[As](=O)(O)O)O,-0.835792819
CCN(CCOC(=O)c1ccc(cc1Cl)N)CC.Cl,-0.830386564
Cc1cc(C)c(c(c1)[N+](C)(C)C)O.[Br-],-0.829804817
NNC(=O)c1ccc(cc1O)N,-0.823479425
NCCS/C(=N\c1ccccc1)/N.Br.Br,-0.819602314
NOCc1ccc(cc1)[N+](=O)[O-].Cl,-0.816772261
OC(c1ccccc1)COC(=O)N,-0.816127439
NCC(Sc1ccc(cc1)Cl)(O)C,-0.815436139
OCC(COc1ccc(cc1)NC(=O)C)O,-0.814834136
CC(=O)COc1ccc(cc1)[As](=O)(O)O,-0.811575006
NNCc1ccccc1.Cl,-0.809447479
CC(c1ccc(cc1)N)C(=O)O,-0.804689247
O/N=C/CCC(=O)c1ccc(cc1)OCC(CO)O,-0.801655653
Nc1ccc(cc1)O,-0.80000001
CCOC(=O)CCCCCCCCC(c1ccc(cc1)I)C,-8.376413208
COc1ccc(c(c1)C(=O)N)O,-0.793390475
COc1cc(ccc1OC)CC(=O)N,-0.788092739
CC(Cc1ccccc1)N.Cl,-0.787531316
NCCc1cc(OC)c(c(c1)OC)OCC,-0.784067062
OCC(COc1ccccc1C=O)O,-0.783500908
OCC(COc1ccc(cc1)C=O)O,-0.783500908
NCC(c1ccccc1)C.Cl,-0.782902912
CC(=O)Oc1cccc(c1)O,-0.782076614
COC(=O)c1ccccc1S(=O)(=O)N,-0.779369761
Cc1cccc(c1OCC[N+](C)(C)C)C.[Br-],-0.772208714
OC(=O)c1cccc(c1O)O,-0.770888646
COc1ccc(cc1)N,-0.768232754
CCNCCC(=O)c1ccccc1O.Cl,-0.761285467
ONC(=O)c1ccccc1N,-0.747711616
OCC(NC(=O)c1c(I)c(C(=O)NC(CO)CO)c(c(c1I)NC(=O)[C@@H](O)C)I)CO,-0.74434272
Oc1ccc(cc1)[N+](=O)[O-],-0.74000001
ONc1ccccc1,-0.74000001
OCCc1ccccc1,-0.74000001
OCCN(c1ccccc1)CCO,-0.73000002
O[As](=O)(c1ccccc1)O,-0.726113306
CCCCNc1ccc(cc1)C(=O)OCCN(C)C.Cl,-0.724274426
NC(=O)c1ccccc1F,-0.720663722
Nc1ccccc1O,-0.72000003
COc1cc(ccc1OC)CC(N)C.Cl,-0.716603509
CNC(=O)c1cc(O)ccc1O,-0.712597744
OCCOc1ccccc1,-0.70999998
OC(=O)C(Cc1ccc(c(c1)O)O)(N)C,-0.703552588
Oc1cccc(c1)Cl,-0.69999999
Oc1ccc(cc1)Cl,-0.69999999
Cc1ccc(cc1)O,-0.69999999
COC(c1ccccc1)CN(C)C,-0.69478209
CC(Cc1ccccc1)N,-0.683385747
O=CNc1ccccc1,-0.68000001
Cc1cccc(c1)O,-0.68000001
NNCCc1ccccc1,-0.670277741
OCC[NH2+]CCOc1ccccc1C.[Cl-],-0.65995556
CN(CCC(=O)c1ccccc1)C,-0.657514262
CN(c1ccccc1)C(=O)N,-0.65600047
OCC(COc1ccccc1O)O,-0.650371166
Nc1ccccc1S(=O)(=O)N,-0.644973584
COc1cc(ccc1OC)CC(N)C,-0.642355305
Cc1ccccc1O,-0.62
CCCCCCCCCCCCCCCCCC[N+](Cc1ccccc1)(C)C.[Cl-],-7.309042832
O[C@@H]([C@@H](N(C)C)C)c1ccccc1.Cl,-0.598293505
OCC(COc1ccccc1OC)O,-0.598173085
OCCOc1ccccc1C(=O)N(C)C,-0.586655803
CC[NH2+]C(C(c1ccccc1)O)C.[Cl-],-0.584156089
CCC(C(c1ccccc1)O)[NH2+]C.[Cl-],-0.584156089
C[C@@H](Cc1ccccc1)N,-0.583111127
OCC(C(=O)NNCc1ccc(c(c1O)O)O)N.Cl,-0.582548656
CCCCCCCCCCCCOC(=O)c1ccc(cc1)O,-7.172486751
CNC(=O)Oc1cccc(c1)C[NH+](C)C.[Cl-],-0.573089923
CNC(=O)Oc1ccc(cc1)C[NH+](C)C.[Cl-],-0.573089923
NC(=O)Cc1ccccc1,-0.572278879
Ic1cc(I)c(c(c1)C(=O)O)I,-7.141299486
OC(=O)CCc1c(I)cc(c(c1I)/N=C/N(C)C)I,-7.128996546
COc1cc(cc(c1O)OC)C(=O)N,-0.5608856
COc1ccc(c(c1)C(C[NH3+])(O)C)OC.[Cl-],-0.557635185
CNC(C(c1ccccc1)O)C,-0.54646905
[O-]C(=O)c1c(O)cccc1O.[Na+],-0.538196578
CN(C(=O)C(=O)N(N(C(=O)C)C)c1ccccc1)C,-0.534519571
CN(CCC(=O)c1ccccc1O)C.Cl,-0.521690492
OS(=O)(=O)SCCNCCc1ccccc1,-0.50928063
O=Nc1ccc(c(c1O)N=O)O,-0.507917878
Oc1ccc(cc1)CC(C(=O)O)(N)C,-0.501150706
Brc1cc(Br)c(cc1Br)Br,-6.98
CCCC[C@@H](COC(=O)c1ccccc1C(=O)OC[C@H](CCCC)CC)CC,-6.96
OCC(COc1ccccc1N)O,-0.488425098
NC[C@H](c1ccccc1)O,-0.47999999
NCC(c1ccccc1)O,-0.476431684
NCCc1cc(OC)c(c(c1)OC)OC.Cl,-0.469163305
NC(=S)c1ccccc1,-0.467293894
COc1ccc(cc1)CNCCSS(=O)(=O)O,-0.465309263
CNCC(=O)c1ccc(c(c1)O)O,-0.46448588
OC(c1ccccc1)C#C,-0.46204653
CN[C@@H]([C@@H](c1ccccc1)O)C.Cl,-0.450386937
CCC(C(=O)O)Oc1c(I)cc(cc1I)I,-6.833160214
OCC(CS(=O)(=O)c1ccc(cc1)C)O,-0.449499145
OCC(=O)Nc1ccccc1,-0.44705746
COc1ccc(cc1C(C[NH+](C)C)O)OC.[Cl-],-0.446604205
O=CNNc1ccccc1,-0.441183517
OC(=O)COc1c(I)cc(cc1I)I,-6.790655823
CN(c1ccc(cc1)C)C(=O)N,-0.423002596
Nc1ccccc1N,-0.41999999
CN[C@@H]([C@H](c1ccccc1)O)C,-0.41999999
OS(=O)(=O)SCCNCCOc1ccccc1,-0.417727003
COc1ccc(cc1CC[N+](C)(C)C)OC.[Cl-],-0.414595665
Nc1ccccc1,-0.41
NC(=O)N(c1ccccc1C)C,-0.403149588
NCCc1cc(OC)c(c(c1)OC)OC,-0.400126628
OC(=O)c1ccc(cc1)N,-0.40000001
OCc1ccccc1,-0.40000001
OC(=O)Cc1ccc(cc1)O,-0.399080411
OCCNC(=O)c1ccccc1O,-0.393032623
CC(=O)Nc1cccc(c1)[As](=O)(O)[O-].[Na+],-0.388122849
COc1cc(C)c(c(c1C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,-6.651070519
OCc1cc(C)cc(c1O)CO,-0.387586113
CC(CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C)C,-6.6399999
COc1cc(O)cc(c1O)OC,-0.382062985
Nc1ccc(cc1)N,-0.38
COP(=S)(Oc1cc(Cl)c(cc1Cl)I)OC,-6.6199999
COc1cc(cc(c1C)C)[N+](C)(C)C.[I-],-0.376444472
CCCOC(=O)c1ccc(cc1)[O-].[Na+],-0.371755769
S=C(Nc1ccccc1)NC(=S)N,-0.37114184
CNC(=O)Oc1ccccc1C[N+](C)(C)C.[I-],-0.368224895
CC(=O)c1cccc(c1)[NH+](O)C.[Cl-],-0.355696444
CC(=O)Nc1ccc(cc1)[As](=O)(O)O,-0.354650176
CC(NCC(c1ccc(cc1)NS(=O)(=O)C)O)C.Cl,-0.353620742
CCC(NCC(c1ccc(cc1)N)O)C,-0.35161994
NC(=O)OCc1ccccc1,-0.34999999
CCC(C(=O)O)Cc1c(I)cc(c(c1I)O)I,-6.549162006
CC[N+](CCCCCCc1ccc(cc1)[N+](CC)(CC)CC)(CC)CC.[I-].[I-],-0.341195074
CC(=O)c1ccc(c(c1)O)O,-0.340909632
OCC(COc1ccccc1NC(=O)C)O,-0.331463932
CCCC(COC(=O)N(C(Cc1ccccc1)C)C)(CO)C,-0.326383879
CC(NCC(=O)c1ccc(c(c1)O)O)C,-0.316333715
CCCN(c1c(cc(cc1[N+](=O)[O-])C(C)C)[N+](=O)[O-])CCC,-6.4899998
OC(c1ccc(cc1)O)CNC(C)C,-0.31152481
COc1ccc(cc1C(C[N+](C)(C)C)(O)C)OC.[Cl-],-0.300730364
NC(=O)Nc1ccc(cc1)[As](=O)(O)O,-0.29027846
OCc1ccccc1O,-0.28999999
CCCCNCC(c1ccc(cc1)O)O,-0.284117508
OCCN(C(=O)c1cc(OC)c(c(c1)OC)OC)CCO,-0.272020107
S=C=Nc1ccc(cc1)Br,-0.267618262
OS(=O)(=O)O.NNCCOc1ccc(cc1)O,-0.260966137
OCC(COc1ccccc1CO)O,-0.255750405
NCCc1ccc(c(c1)OC)OC.Cl,-0.251484614
CCN(c1ccccc1C)C(=O)N,-0.209600305
CN(Cc1cc(CN(C)C)c(c(c1)CN(C)C)O)C,-0.209058707
CN(C(=O)c1ccccc1O)C,-0.200955672
OS(=O)(=O)SCCNCc1ccccc1,-0.178427682
Oc1ccc(cc1)O,-0.17
C[NH2+]CC(c1cc(OC)ccc1OC)O.[Cl-],-0.168650019
CC(=O)Oc1ccccc1C(=O)N,-0.166917582
CC[N+](Cc1ccccc1Br)(C)C.[Br-],-0.164907033
CC(COc1ccc(cc1N)[As](=O)(O)O)O,-0.160898377
COS(=O)(=O)[O-].CCOP(=O)(SCC[N+](c1ccccc1)(C)C)C,-0.15742524
Nc1ccc(cc1)[As](=O)(O)[O-].[Na+],-0.155748658
NCCNCCCC(=O)c1ccccc1,-0.147158736
CC(C(c1ccc(cc1)C)O)N.Cl,-0.137375644
Cc1cccc(c1)C(C([NH3+])C)O.[Cl-],-0.137375644
Nc1cccc(c1)S(=O)(=O)N,-0.133261576
NCCOc1ccccc1,-0.12869699
COc1ccc(c(c1)C(C(N)C)O)OC.Cl,-0.126787572
COc1cc(OC)ccc1C(C([NH3+])C)O.[Cl-],-0.126787572
Nc1ccc(cc1)P(=O)(O)O,-0.124373786
[O-]C(=O)c1ccccc1O.[Na+],-0.107492169
CCC(C(c1ccccc1)O)N.Cl,-0.089849131
OP(=O)(O)O.CC(Cc1ccccc1)N,-0.086702609
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.1399999
NCC(c1ccccc1)CC(=O)O,-0.078452432
CCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CC(=C)C,-6.1199999
CC(=O)Nc1cc(ccc1O)[As](=O)(O)O,-0.061261827
N/C(=N\CCc1ccccc1)/N=C(N)N.Cl,-0.061098699
