smiles,LogS
ClCC(Cl)(Cl)Cl,-2.18
CC(Cl)(Cl)Cl,-2.0
ClC(Cl)C(Cl)Cl,-1.74
ClCC(Cl)Cl,-1.48
FC(F)(Cl)C(F)(Cl)Cl,-3.04
CC(Cl)Cl,-1.29
ClC(=C)Cl,-1.64
CCOC(C)OCC,-0.43
Cl\C=C/Cl,-1.3
CC/C=C\C,-2.54
CC(C)=CCCC(C)=CC(=O),-2.06
ClC(Cl)(Cl)C#N,-2.168
ClC=C(Cl)Cl,-1.96
ClC(Cl)Cl,-1.17
BrCCBr,-1.68
ClCCCl,-1.06
CC(Cl)CCl,-1.6
FC(F)(Cl)C(F)(F)Cl,-2.74
CCOCCOCC,-0.77
OCC(O)C(O)C(O)C(O)CO,1.09
C=CC=C,-1.87
ClCCCCl,-1.62
CCNC(=S)NCC,-1.46
CCN(CC)C(=S)SCC(Cl)=C,-3.39
CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334
CCCCSP(=O)(SCCCC)SCCCC,-5.14
C/C=C/C=O,0.32
CCCCCCCCCCCCCCCC,-8.4
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755
C=CCC=C,-2.09
CCOP(=O)(OCC)OCC,0.43
C=CCCC=C,-2.68
BrC(Br)(Br)Br,-3.14
CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,-4.286
CC(C)CBr,-2.43
CCCCBr,-2.37
CCCCCCCBr,-4.43
CCCCCCBr,-3.81
BrCBr,-1.17
CCCCCCCCBr,-5.06
CCCCCBr,-3.08
CCCBr,-1.73
CCCCO,0.0
CCC=C,-1.94
CCC#C,-1.24
ClCCBr,-1.32
ClCC(C)C,-2.0
CCCCCl,-2.03
CCCCCCCCl,-4.0
CCCCCCCl,-3.12
ClCCl,-0.63
CCCCCCl,-2.73
CCCCl,-1.47
CCCCCCCCCCO,-3.63
CCCCCCCCC=C,-5.51
CCCCCCCCCCCCO,-4.8
CCOCC,-0.09
CCCCCCCO,-1.81
CCCCCC=C,-3.73
CCCCCC#C,-3.01
CCCCCCCCCCCCCCCCO,-7.0
CCCCCCO,-1.24
CCCCC=C,-3.23
CCCC(O)C=C,-0.59
CCCCC#C,-2.36
CCCCI,-2.96
CCCCCCCI,-4.81
ICI,-2.34
CCCI,-2.29
CC(C)OC(C)C,-1.1
CC(C)SC(C)C,-2.24
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523
COCOC,0.48
CSC,-0.45
CSSC,-1.44
CCCSCCC,-2.58
BrC(Br)Br,-1.91
CCCN(=O)=O,-0.8
CCCCCCCCCO,-3.01
CCCCCCCC=C,-5.05
