smiles,LogS
OCCN1CCN(CC1)CCCC1(OC(c2c1cccc2)(C)C)c1ccccc1.Cl.Cl,-4.111049829
COP(=O)(OP(=O)(OC(C)C)OC(C)C)OC,-1.575063646
CN1C2CCC1CC(C2)OC(=O)C(=C)c1ccc(cc1)C(F)(F)F.CN1C2CCC1CC(C2)OC(=O)C(=C)c1ccc(cc1)C(F)(F)F.CN1C2CCC1CC(C2)OC(=O)C(=C)c1ccc(cc1)C(F)(F)F.CN1C2CCC1CC(C2)OC(=O)C(=C)c1ccc(cc1)C(F)(F)F.O,-4.971126841
NC(=N)N(CCOP(=O)(O)O)C,0.705245075
CCOC(=O)n1c(=O)ccc2c1cccc2,-1.659300854
O[C@H]1CC[C@]2([C@H](C1)C[C@@H]([C@@H]1[C@@H]2C[C@@H](O)[C@]2([C@H]1CC[C@@H]2[C@H](CCC(=O)NCC(=O)O)C)C)O)C,-5.1500001
O=C(OCC[N+](C)(C)C)CCC(=O)OCC[N+](C)(C)C.[I-].[I-],0.26423108
CN(CCN(c1ccccn1)Cc1ccsc1Br)C.Cl,-2.940559139
OP(=O)(O)O.CN1CC[C@@]23[C@H]([C@H]1Cc1c3cccc1)CCCC2,-3.42008631
CC(C(c1cccc2c1cccc2)(C(=O)N)CCN1CCCCC1)C,-5.562004282
CCCCCCCCCCCCCCCCCNCCSS(=O)(=O)O,-6.510963425
C[C@H](C(C)C)O,-0.2
CCN(C(=S)[S-])CC.[Tl+],-1.084936038
ClCCSCC(=O)NCCNC(=O)CSCCCl,-2.680207845
CCC1(N2CCCCC2)C(=O)NC(=O)NC1=O,-2.156180836
COP(=O)(SC)OC,-0.376202171
Clc1cccc(c1)C(=O)O,-2.5899999
CCCCCc1cc[n+](cc1)C(c1ccccc1)c1ccccc1.[Br-],-5.31254567
CC(=O)c1ccc(c(c1O)O)O,-2.021571698
CC(C(c1ccccc1)(c1ccccc1)O)CN(C)C.Cl,-2.513299981
N[C@@H]1CONC1=O,0.82101497
CCCCCC=O,-1.3
CN(CC/C=C\1/c2ccsc2CCc2c1cccc2)C,-5.443850257
OC(=O)C(=O)O.CCCOc1c(OC)cccc1C(=O)NCCCN(CC)CC,-4.220954373
NC(=N)SCCCCSC(=N)N.Br.Br,-1.902323868
CCCOC(=O)c1c(C)ccc(c1OCCN(C)C)C(C)C,-4.354212973
Clc1ccc(c(c1)Cl)c1ccc(c(c1Cl)Cl)Cl,-7.8000002
OCC(COc1cccc(c1)OC)O,-1.450187765
CCNC(C)(C)C.Cl,-0.501289641
OC(=O)C(=O)[O-].COc1ccc2c(c1)n(CCC[NH+](C)C)c1c2cccc1,-4.990109175
CCC(C(COC(=O)N)COC(=O)N)C,-1.600972916
CC[NH+](CCOC(=O)c1c2ccccc2nc2c1cccc2)CC.[Cl-],-4.972868951
CC(C1(CC(=C)Br)C(=O)NC(=O)NC1=O)C,-2.564234881
Nc1ccc(cn1)C(=O)N,-0.891657811
O[C@@H]1[C@@H](COP(=O)(OP(=O)(OP(=O)(O)[O-])[O-])O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N.[Na+].[Na+],0.258734112
CCCCOc1ccc(cc1)OCC(=O)N(c1cc(OC)ccc1OC)CCN(CC)CC.Cl,-6.471938743
COc1ccccc1OCC(=O)O,-0.972239553
ClCC[NH+](Cc1ccccc1)CCOc1ccc(cc1)OC.[Cl-],-4.248603907
CCC(=O)c1cc(OC)ccc1O,-2.106542904
COCCn1c(=O)c2n(C)cnc2n(c1=O)C,-2.146578501
C[C@@H]1O[C@@H]1P(=O)([O-])[O-].[Na+].[Na+],0.722599506
OC(=O)c1ccccc1O.Oc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)CCN1CCOCC1,-2.673092902
[O-]C(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F.[O-]C(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F.[O-]C(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F.[Al+3],-6.224019802
CNC(CC1CCCC1)C.Cl,-1.891791683
CCNc1nc(OCC)nc(n1)CC,-3.436694073
CCN(CCOC(=O)c1cccc(c1OC)OC)CC.Cl,-2.134811637
O=c1ccc2c(c1)[nH]c1c2cc[nH]c1C.Cl,-3.383709897
CCOC(=O)c1c(C)ccc(c1OCC(=O)OCCN(C)C)C(C)C,-3.863709809
CC(C(=O)N/N=C/c1ccc(o1)[N+](=O)[O-])N1CCN(CC1)C.O.O,-2.64896529
COc1c2CN(C)CCc2cc2c1OCO2,-1.466373261
C/N=C\1/CN(O)C(=c2c(=N1)ccc(c2)Cl)c1ccccc1,-2.175740787
O=[NH+]/C=c/1\n(COCc2ccccc2)ccn1C.[Cl-],-0.144927333
O=C(C1=C(C)OCCC1)Nc1ccccc1,-2.5599999
C1CCN(CC1)CCc1ccccc1,-2.456953743
[O-]S(=O)(=O)[O-].COc1c(OC)ccc2c1c[n+]1CCc3c(c1c2)cc1c(c3)OCO1.COc1c(OC)ccc2c1c[n+]1CCc3c(c1c2)cc1c(c3)OCO1,-1.123879876
CC1=NCCN1,-0.260455671
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN([C@@H]1N2C)C,-1.549914581
COc1cc(/C=C/C(CCN2CCN(CC2)c2ccccc2F)O)cc(c1OC)OC.Cl.Cl,-4.288644504
ClCCCl,-1.0599999
OC(COc1ccccc1)CNCC1CCc2c(N1)cccc2.Cl.Cl.O,-2.842247597
C=CCNC(=O)OCC(C(C)C)(COC(=O)N)C,-2.980790889
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C,-10.84482232
