32
process will start at : 
Thu Mar 30 11:40:50 CST 2023
++++++++++++++++++++++++++++++++++++++++
Load GaoDataSet from dataset/Cui9943.csv ... done (9944 lines, 158.732 seconds) 
# of all graphs/labels:      9943
# of all graphs/labels:      9943
# of training graphs/labels:      7954
# of validing graphs/labels:      995
# of testing graphs/labels:      994
>>> Training of the Model >>>
Start at:  Thu Mar 30 11:50:14 2023
PID:       60919
Learning rate:               1E-03
Batch size:                  32
Maximum epochs:              500
Output frequency:            1
Device:                      cpu
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0           1.717           1.345           1.818           0.334           0.656           0.988           1.404           0.530           0.792          45.165
         1           1.441           1.138           1.532           0.527           0.743           0.931           1.310           0.591           0.816          78.473
         2           1.383           1.094           1.480           0.559           0.762           0.906           1.284           0.607           0.826         111.399
         3           1.348           1.065           1.447           0.578           0.774           0.884           1.277           0.611           0.833         144.369
         4           1.328           1.047           1.425           0.591           0.783           0.964           1.423           0.517           0.835         177.512
         5           1.296           1.020           1.393           0.609           0.794           1.036           1.519           0.450           0.837         210.938
         6           1.274           1.002           1.372           0.621           0.801           1.040           1.527           0.444           0.839         244.803
         7           1.254           0.986           1.354           0.631           0.807           1.020           1.506           0.459           0.841         279.039
         8           1.239           0.974           1.341           0.638           0.811           1.054           1.545           0.431           0.842         313.349
         9           1.230           0.965           1.333           0.642           0.814           1.200           1.709           0.304           0.842         347.776
        10           1.216           0.954           1.320           0.649           0.818           1.201           1.710           0.303           0.844         382.137
        11           1.207           0.946           1.313           0.653           0.821           1.252           1.766           0.257           0.844         416.596
        12           1.204           0.943           1.310           0.654           0.822           1.259           1.774           0.250           0.845         451.200
        13           1.195           0.935           1.301           0.659           0.825           1.207           1.716           0.298           0.847         485.833
        14           1.181           0.922           1.287           0.666           0.829           1.160           1.661           0.343           0.849         520.719
        15           1.168           0.910           1.274           0.673           0.833           1.114           1.609           0.383           0.851         555.457
        16           1.155           0.899           1.262           0.679           0.837           1.083           1.576           0.408           0.852         590.264
        17           1.145           0.890           1.252           0.684           0.840           1.058           1.548           0.429           0.854         625.048
        18           1.136           0.883           1.243           0.689           0.842           1.036           1.524           0.446           0.854         659.864
        19           1.128           0.877           1.236           0.692           0.844           1.010           1.493           0.468           0.855         694.280
        20           1.121           0.870           1.228           0.696           0.847           0.986           1.465           0.489           0.856         728.424
        21           1.114           0.865           1.222           0.699           0.848           0.967           1.444           0.503           0.856         762.501
        22           1.110           0.862           1.218           0.701           0.850           0.946           1.417           0.521           0.857         796.460
        23           1.106           0.859           1.214           0.703           0.851           0.926           1.396           0.536           0.859         830.282
        24           1.102           0.856           1.210           0.705           0.852           0.908           1.375           0.550           0.859         864.039
