smiles,LogS
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278
Cc1ccccc1N,-2.21
Cc1c[nH]c(=O)[nH]c1=O ,-1.506
OCC2OC(OC1(CO)OC(CO)C(O)C1O)C(O)C(O)C2O ,0.79
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87
CCCCC(=O)C,-0.8
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F ,-1.8
OCC(O)C(O)C(O)C(O)CO,1.09
CC(C)CO,0.1
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.15
CCCCCC1CCCC1,-6.08
O=C1NC(=O)NC(=O)C1(CC)C(C)C,-2.148
CCCCCCCCC,-5.88
Cc1cc(C)cc(C)c1,-3.4
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65
ClCCBr,-1.32
CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06
CCCCCCCBr,-4.43
Nc1ccc(cc1)S(N)(=O)=O,-1.34
CCCCCC,-3.84
CCCCCCCCl,-4.0
CCOC(C)OCC,-0.43
CC=C(C)C,-2.56
c1ccc2c(c1)ccc3ccccc32,-5.26
CCC(C)C,-3.18
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34
CCCCc1c(C)nc(nc1O)N(C)C ,-2.24
BrCCBr,-1.68
Nc3cc2c1ccccc1ccc2c4ccccc34 ,-6.2
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016
CCCCC(C)(C)O,-1.08
CCCCCCC(=O)C,-2.05
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94
CCCCS,-2.18
O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655
Clc1ccc(Br)cc1,-3.63
CCBr,-1.09
c1ccnnc1,1.1
CCc1ccccc1,-2.77
Nc1nc(=O)[nH]cc1F,-0.972
O=C1NC(=O)NC(=O)C1(CC)CC,-2.4
CC(C)CC(C)O,-0.8
NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl ,-2.63
Cc1ccccc1Cl,-3.52
c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC),-2.943
C1CCOC1,0.49
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-4.594
O2c1ccccc1N(CC)C(=O)c3ccccc23 ,-3.68
CCCCC(=O)OC,-1.34
CCCCCC(C)O,-1.55
c2ccc1[nH]nnc1c2,-0.78
CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O,-3.35
CCOC(=O)N,0.85
C1CCCCCCC1,-4.15
Cc1cncc(C)c1,0.38
Clc1ccc(cc1)c2c(Cl)cccc2Cl ,-6.14
CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2 ,-4.632
CCC,-1.94
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.411
COc1cc(CC=C)ccc1O,-1.56
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,-8.71
Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl ,-6.47
Clc1cccc(Br)c1,-3.21
O=C2NC(=O)C1(CCCC1)C(=O)N2,-2.349
O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13,-2.676
ClCC(C)C,-2.0
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,-3.78
ClCC,-1.06
CC(C)COC(=O)C,-1.21
CCCC(O)C=C,-0.59
CCc1cccc2ccccc12,-4.17
COc1ccc(C=O)cc1,-1.49
Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O,-3.953
CCCC(=O)OC,-1.92
Cc2ncc1nccnc1n2,-0.12
CCCCBr,-2.37
CC(=C)C,-2.33
CCCC(=O)CCC,-1.3
CCCOC,-0.39
Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O ,-3.083
Oc1ccccc1N(=O)=O,-1.74
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) ,-3.48
NNc1ccccc1,0.07
C/C=C/C=O,0.32
Oc1ccccc1O,0.62
ClC(Cl)(Cl)N(=O)=O,-2.0
Oc2ccc1CCCCc1c2 ,-1.99
CNC(=O)Oc1ccccc1C2OCCO2,-1.57
ClCC(Cl)(Cl)Cl,-2.18
CC(C)c1ccc(C)cc1O,-2.22
C1CCCC1,-2.64
CCOc1ccccc1,-2.33
CCCC(C)(COC(N)=O)COC(N)=O ,-1.807
CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O,-4.12
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755
Cc1cccnc1C,0.38
CCOC(=O)CC(=O)OCC,-0.82
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.77
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01
Oc1ccccc1Cl,-1.06
CC1=CCC(CC1)C(C)=C,-4.26
c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-9.332
CCOC(=O)C=Cc1ccccc1,-3.0
CC(C)=CCC/C(C)=C\CO,-2.46
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907
CC,-1.36
Clc1ccccc1N(=O)=O,-2.55
CCCCCC(=O)C,-1.45
CC(=O)c1ccccc1,-1.28
O=C2NC(=O)C1(CCCCC1)C(=O)N2,-3.06
ClC(=C)Cl,-1.64
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28
Cc1ncnc2nccnc12,-0.466
Clc1ccccc1I,-3.54
