32
process will start at : 
Thu Mar 30 23:16:19 CST 2023
++++++++++++++++++++++++++++++++++++++++
Load GaoDataSet from dataset/ESOL.csv ... done (1145 lines, 18.446 seconds) 
# of all graphs/labels:      1144
# of all graphs/labels:      1144
# of training graphs/labels:      915
# of validing graphs/labels:      115
# of testing graphs/labels:      114
>>> Training of the Model >>>
Start at:  Thu Mar 30 23:20:26 2023
PID:       391027
Learning rate:               1E-03
Batch size:                  32
Maximum epochs:              500
Output frequency:            1
Device:                      cpu
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0           1.829           1.466           1.920           0.153           0.635           1.054           1.365           0.592           0.696          14.845
         1           1.262           1.018           1.336           0.590           0.781           1.041           1.325           0.616           0.762          18.769
         2           1.164           0.954           1.246           0.643           0.805           0.945           1.206           0.682           0.801          22.686
         3           1.088           0.902           1.170           0.686           0.828           0.900           1.146           0.713           0.822          26.600
         4           1.066           0.887           1.147           0.698           0.835           0.880           1.113           0.729           0.834          30.518
         5           1.045           0.873           1.126           0.709           0.843           0.877           1.104           0.734           0.837          34.434
         6           1.027           0.861           1.107           0.718           0.848           0.880           1.106           0.732           0.842          38.355
         7           1.009           0.849           1.090           0.727           0.852           0.879           1.103           0.734           0.847          42.275
         8           0.990           0.835           1.072           0.736           0.858           0.872           1.096           0.738           0.853          46.187
         9           0.972           0.824           1.054           0.745           0.862           0.876           1.107           0.732           0.853          50.108
        10           0.960           0.816           1.043           0.750           0.866           0.878           1.112           0.730           0.855          54.060
        11           0.948           0.808           1.033           0.755           0.869           0.878           1.115           0.728           0.857          57.968
        12           0.937           0.800           1.023           0.759           0.872           0.881           1.121           0.725           0.858          61.893
        13           0.926           0.792           1.013           0.764           0.875           0.883           1.124           0.724           0.858          65.802
        14           0.916           0.785           1.003           0.769           0.878           0.880           1.121           0.725           0.854          69.713
        15           0.905           0.777           0.993           0.773           0.880           0.878           1.121           0.725           0.854          73.624
        16           0.882           0.759           0.973           0.783           0.884           0.811           1.039           0.764           0.854          77.533
        17           0.868           0.750           0.954           0.791           0.890           0.866           1.109           0.731           0.853          81.441
        18           0.879           0.759           0.967           0.785           0.887           0.881           1.124           0.724           0.852          85.362
        19           0.878           0.759           0.969           0.784           0.886           0.882           1.126           0.723           0.851          89.277
        20           0.870           0.753           0.961           0.788           0.887           0.875           1.116           0.728           0.853          93.287
        21           0.862           0.748           0.953           0.791           0.889           0.879           1.124           0.724           0.852          97.225
        22           0.856           0.745           0.948           0.793           0.890           0.869           1.111           0.730           0.853         101.162
        23           0.849           0.739           0.941           0.797           0.892           0.873           1.115           0.728           0.853         105.104
        24           0.844           0.736           0.937           0.798           0.893           0.868           1.110           0.731           0.853         109.043
        25           0.838           0.731           0.931           0.801           0.894           0.863           1.104           0.734           0.854         113.016
        26           0.832           0.727           0.925           0.803           0.895           0.863           1.104           0.733           0.853         116.947
        27           0.828           0.724           0.922           0.805           0.896           0.862           1.102           0.734           0.853         120.891
        28           0.825           0.722           0.919           0.806           0.897           0.859           1.098           0.736           0.854         124.817
        29           0.820           0.719           0.914           0.808           0.897           0.854           1.092           0.739           0.854         128.735
        30           0.816           0.715           0.910           0.810           0.898           0.850           1.088           0.741           0.853         132.654
        31           0.812           0.712           0.906           0.811           0.899           0.851           1.089           0.741           0.853         136.576
        32           0.809           0.710           0.904           0.812           0.900           0.845           1.082           0.744           0.853         140.507
        33           0.805           0.707           0.899           0.814           0.901           0.845           1.083           0.744           0.854         144.429
        34           0.803           0.705           0.898           0.815           0.901           0.842           1.078           0.746           0.853         148.350
        35           0.801           0.703           0.896           0.816           0.901           0.837           1.073           0.748           0.855         152.278
        36           0.798           0.702           0.894           0.816           0.902           0.839           1.076           0.747           0.854         156.199
        37           0.797           0.701           0.893           0.817           0.901           0.834           1.070           0.750           0.854         160.140
        38           0.794           0.698           0.890           0.818           0.902           0.830           1.066           0.751           0.854         164.069
        39           0.790           0.695           0.886           0.819           0.903           0.829           1.066           0.752           0.855         167.999
        40           0.789           0.694           0.885           0.820           0.903           0.826           1.064           0.753           0.855         171.963
        41           0.786           0.692           0.883           0.821           0.904           0.828           1.065           0.752           0.856         175.983
        42           0.786           0.691           0.882           0.821           0.904           0.823           1.060           0.754           0.856         179.917
        43           0.783           0.689           0.880           0.822           0.905           0.821           1.058           0.755           0.856         183.904
        44           0.780           0.687           0.877           0.823           0.905           0.820           1.057           0.756           0.857         187.836
        45           0.778           0.685           0.875           0.824           0.906           0.817           1.054           0.757           0.857         191.758
        46           0.775           0.683           0.872           0.825           0.906           0.816           1.052           0.758           0.857         195.689
        47           0.774           0.682           0.871           0.825           0.906           0.815           1.052           0.758           0.858         199.626
        48           0.772           0.681           0.870           0.826           0.906           0.811           1.048           0.760           0.858         203.549
        49           0.769           0.678           0.866           0.827           0.907           0.810           1.049           0.759           0.858         207.474
        50           0.768           0.677           0.865           0.828           0.907           0.813           1.053           0.758           0.856         211.419
        51           0.767           0.676           0.865           0.828           0.908           0.808           1.047           0.760           0.858         215.351
        52           0.764           0.674           0.862           0.829           0.908           0.807           1.046           0.761           0.858         219.296
        53           0.763           0.673           0.861           0.830           0.908           0.803           1.042           0.762           0.859         223.241
        54           0.760           0.670           0.857           0.831           0.909           0.803           1.043           0.762           0.859         227.196
        55           0.759           0.669           0.857           0.831           0.910           0.801           1.040           0.763           0.859         231.182
        56           0.758           0.668           0.856           0.832           0.910           0.801           1.039           0.764           0.859         235.132
        57           0.757           0.667           0.855           0.832           0.910           0.799           1.037           0.765           0.860         239.089
        58           0.755           0.666           0.853           0.833           0.910           0.793           1.031           0.768           0.861         243.091
        59           0.753           0.664           0.851           0.834           0.911           0.790           1.028           0.769           0.861         247.053
        60           0.750           0.662           0.848           0.835           0.911           0.789           1.027           0.770           0.861         251.027
        61           0.750           0.662           0.848           0.835           0.912           0.787           1.026           0.770           0.863         254.991
        62           0.747           0.660           0.846           0.835           0.912           0.784           1.021           0.772           0.863         259.026
        63           0.746           0.659           0.845           0.836           0.912           0.781           1.019           0.773           0.863         263.011
        64           0.743           0.657           0.842           0.837           0.913           0.782           1.020           0.772           0.864         266.985
        65           0.743           0.657           0.842           0.837           0.913           0.778           1.016           0.775           0.864         270.949
        66           0.741           0.656           0.840           0.838           0.913           0.779           1.017           0.774           0.865         274.919
        67           0.741           0.655           0.840           0.838           0.913           0.771           1.009           0.778           0.865         278.889
        68           0.736           0.651           0.835           0.840           0.914           0.772           1.011           0.777           0.865         282.860
        69           0.735           0.650           0.834           0.840           0.915           0.769           1.007           0.778           0.867         286.832
        70           0.732           0.648           0.832           0.841           0.915           0.770           1.008           0.778           0.867         290.806
        71           0.732           0.648           0.831           0.841           0.916           0.768           1.007           0.778           0.865         294.820
        72           0.731           0.648           0.831           0.841           0.916           0.769           1.008           0.778           0.866         298.797
        73           0.731           0.648           0.830           0.841           0.916           0.764           1.003           0.780           0.866         302.804
        74           0.728           0.645           0.828           0.842           0.916           0.764           1.003           0.780           0.866         306.782
        75           0.727           0.644           0.827           0.843           0.916           0.756           0.994           0.784           0.867         310.761
        76           0.725           0.642           0.824           0.844           0.917           0.762           1.001           0.781           0.866         314.737
        77           0.725           0.643           0.825           0.844           0.917           0.755           0.993           0.785           0.868         318.719
        78           0.722           0.641           0.822           0.845           0.918           0.757           0.996           0.783           0.867         322.700
        79           0.720           0.638           0.820           0.845           0.918           0.756           0.995           0.784           0.868         326.682
        80           0.718           0.637           0.818           0.846           0.919           0.756           0.995           0.783           0.866         330.666
        81           0.718           0.637           0.818           0.846           0.919           0.753           0.992           0.785           0.866         334.646
        82           0.715           0.635           0.815           0.847           0.919           0.753           0.993           0.784           0.866         338.636
        83           0.715           0.635           0.814           0.848           0.920           0.756           0.995           0.784           0.865         342.710
        84           0.714           0.634           0.814           0.848           0.920           0.754           0.992           0.785           0.866         346.701
        85           0.713           0.634           0.813           0.848           0.920           0.751           0.989           0.786           0.867         350.695
        86           0.713           0.633           0.813           0.848           0.920           0.750           0.989           0.786           0.867         354.737
        87           0.713           0.633           0.813           0.848           0.920           0.749           0.989           0.786           0.865         358.742
        88           0.710           0.631           0.811           0.849           0.920           0.743           0.983           0.789           0.868         362.816
        89           0.710           0.630           0.810           0.849           0.921           0.743           0.981           0.790           0.868         366.820
        90           0.707           0.629           0.808           0.850           0.921           0.739           0.977           0.791           0.867         370.817
        91           0.706           0.627           0.806           0.851           0.921           0.736           0.974           0.793           0.869         374.815
        92           0.704           0.626           0.804           0.851           0.922           0.732           0.972           0.794           0.870         378.824
        93           0.704           0.626           0.805           0.851           0.922           0.733           0.971           0.794           0.869         382.824
        94           0.701           0.624           0.802           0.852           0.922           0.732           0.973           0.793           0.869         386.822
        95           0.704           0.625           0.805           0.851           0.922           0.729           0.968           0.795           0.868         390.833
        96           0.699           0.622           0.800           0.853           0.922           0.727           0.968           0.795           0.872         394.840
        97           0.704           0.625           0.805           0.851           0.922           0.732           0.972           0.794           0.869         398.851
        98           0.699           0.622           0.800           0.853           0.923           0.723           0.962           0.798           0.873         402.859
        99           0.698           0.621           0.799           0.853           0.923           0.724           0.962           0.798           0.874         406.869
       100           0.698           0.621           0.799           0.853           0.923           0.722           0.962           0.798           0.872         410.883
       101           0.696           0.620           0.798           0.854           0.923           0.721           0.958           0.799           0.873         414.922
       102           0.697           0.620           0.798           0.853           0.923           0.719           0.958           0.799           0.873         418.940
       103           0.695           0.619           0.797           0.854           0.923           0.719           0.956           0.800           0.874         423.080
       104           0.694           0.619           0.797           0.854           0.924           0.717           0.955           0.801           0.874         427.087
       105           0.694           0.617           0.796           0.854           0.924           0.716           0.954           0.801           0.875         431.090
       106           0.694           0.618           0.796           0.854           0.924           0.715           0.955           0.801           0.873         435.094
       107           0.691           0.616           0.793           0.855           0.924           0.715           0.953           0.801           0.874         439.100
       108           0.692           0.617           0.795           0.855           0.924           0.714           0.953           0.801           0.873         443.107
       109           0.691           0.616           0.793           0.855           0.924           0.712           0.951           0.802           0.874         447.122
       110           0.694           0.618           0.797           0.854           0.924           0.712           0.951           0.802           0.873         451.140
       111           0.693           0.617           0.795           0.855           0.924           0.710           0.949           0.803           0.875         455.159
       112           0.697           0.620           0.800           0.853           0.923           0.709           0.947           0.804           0.874         459.189
       113           0.697           0.621           0.800           0.853           0.922           0.703           0.940           0.807           0.878         463.222
       114           0.704           0.626           0.805           0.851           0.920           0.660           0.895           0.825           0.874         467.239
       115           0.683           0.604           0.786           0.858           0.924           0.665           0.900           0.823           0.875         471.270
       116           0.679           0.603           0.782           0.860           0.926           0.667           0.902           0.822           0.875         475.285
       117           0.681           0.605           0.784           0.859           0.925           0.665           0.899           0.823           0.876         479.295
       118           0.680           0.603           0.782           0.859           0.925           0.665           0.899           0.823           0.875         483.379
       119           0.678           0.602           0.781           0.860           0.926           0.664           0.897           0.824           0.876         487.395
       120           0.677           0.600           0.780           0.860           0.926           0.666           0.901           0.823           0.876         491.415
       121           0.677           0.600           0.779           0.860           0.926           0.665           0.899           0.823           0.874         495.432
       122           0.675           0.599           0.778           0.861           0.927           0.666           0.901           0.823           0.873         499.453
       123           0.677           0.599           0.779           0.860           0.927           0.666           0.900           0.823           0.874         503.463
       124           0.673           0.597           0.776           0.862           0.927           0.664           0.898           0.824           0.873         507.561
       125           0.674           0.596           0.777           0.861           0.927           0.666           0.900           0.823           0.872         511.573
       126           0.672           0.595           0.774           0.862           0.927           0.666           0.900           0.823           0.874         515.585
       127           0.674           0.596           0.777           0.861           0.927           0.666           0.900           0.823           0.872         519.602
       128           0.670           0.593           0.773           0.863           0.928           0.666           0.898           0.824           0.875         523.614
       129           0.669           0.593           0.772           0.863           0.928           0.667           0.902           0.822           0.871         527.629
       130           0.669           0.592           0.772           0.863           0.928           0.665           0.896           0.824           0.875         531.693
       131           0.667           0.591           0.770           0.864           0.929           0.664           0.898           0.824           0.873         535.719
       132           0.668           0.591           0.771           0.863           0.929           0.665           0.896           0.824           0.874         539.746
       133           0.666           0.591           0.770           0.864           0.929           0.665           0.897           0.824           0.873         543.849
       134           0.668           0.591           0.771           0.863           0.929           0.666           0.899           0.823           0.872         547.869
       135           0.666           0.590           0.770           0.864           0.929           0.664           0.895           0.825           0.874         551.900
       136           0.667           0.590           0.770           0.864           0.929           0.665           0.897           0.824           0.873         555.928
       137           0.664           0.589           0.767           0.865           0.929           0.665           0.897           0.824           0.873         559.957
       138           0.665           0.589           0.768           0.864           0.929           0.665           0.896           0.825           0.874         563.974
       139           0.664           0.588           0.767           0.865           0.929           0.663           0.893           0.826           0.875         567.992
       140           0.663           0.588           0.767           0.865           0.930           0.664           0.894           0.825           0.875         572.012
       141           0.662           0.587           0.766           0.865           0.930           0.663           0.892           0.826           0.876         576.030
       142           0.663           0.587           0.766           0.865           0.930           0.663           0.891           0.826           0.876         580.050
       143           0.661           0.586           0.764           0.866           0.930           0.660           0.888           0.828           0.876         584.076
       144           0.661           0.585           0.765           0.866           0.930           0.662           0.890           0.827           0.876         588.107
       145           0.660           0.585           0.763           0.866           0.930           0.660           0.888           0.828           0.876         592.250
       146           0.659           0.585           0.763           0.866           0.931           0.659           0.886           0.828           0.877         596.279
       147           0.658           0.584           0.762           0.867           0.931           0.659           0.886           0.828           0.877         600.317
       148           0.658           0.584           0.762           0.866           0.931           0.660           0.887           0.828           0.878         604.412
       149           0.658           0.584           0.762           0.866           0.931           0.660           0.887           0.828           0.877         608.435
       150           0.658           0.584           0.762           0.867           0.931           0.659           0.885           0.829           0.878         612.476
       151           0.656           0.582           0.760           0.867           0.931           0.662           0.889           0.827           0.877         616.505
       152           0.655           0.583           0.759           0.868           0.931           0.657           0.883           0.830           0.880         620.526
       153           0.657           0.583           0.761           0.867           0.931           0.658           0.884           0.829           0.877         624.553
       154           0.655           0.582           0.759           0.868           0.931           0.656           0.882           0.830           0.879         628.584
       155           0.655           0.581           0.759           0.868           0.932           0.657           0.883           0.830           0.878         632.608
