smiles,LogS
CCCOCC,-0.66
O=NN(c1ccccc1)c1ccccc1,-3.75
COc1c2occc2c(OC)c2c(=O)cc(C)oc12,-2.4
Cc1cccc(O)c1,-0.68
O=C(O)COc1ccc(Cl)cc1Cl,-2.51
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,-3.51
CC(Oc1ccccc1Cl)C(=O)O,-2.22
COc1ccc2c(c1O)C13CCN(C)C1(C=CC(=O)C3)CC2,-1.87
c1ccc2scnc2c1,-1.5
CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,-2.99
CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,-3.35
CC(C)[N+](=O)[O-],-0.62
CCCCN(CCCC)CCCC,-3.12
Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-5.43
NC(=O)NO,1.12
CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-5.15
Cc1ccc2ccc(C)nc2c1,-1.94
CCC(Br)(CC)C(=O)NC(N)=O,-2.68
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,-4.16
Cc1cccc([N+](=O)[O-])c1,-2.44
O=C(O)c1ccc(O)cc1,-1.41
CC1(C)C(=O)N(Cl)C(=O)N1Cl,-2.6
Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.47
O=C(O)/C=C\c1c[nH]cn1,-1.96
CCCCCCC(=O)OCC,-2.71
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,-7.8
COC=O,0.58
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,-0.48
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.23
CCC(=O)OC,-0.14
OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85
CC(C)CCBr,-2.89
NC(=O)c1cnccn1,-0.91
OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,-4.38
Oc1ccc2ncccc2c1,-2.16
Cc1cccc(Nc2ccccc2C(=O)O)c1C,-3.78
FC(F)(F)C(Cl)Br,-1.71
CC(C)C(C)(C)O,-0.41
Brc1ccccc1,-2.55
CCCCc1c(C)nc(N(C)C)nc1O,-2.24
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-2.88
Cc1cc(C)cc(O)c1,-1.4
Nc1cccc2nc3ccccc3cc12,-4.22
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.26
CCC(O)C(C)C,-0.7
CC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.23
CC1CO1,-0.59
ClCCCl,-1.06
CCc1ccc2cc3ccccc3cc2c1,-6.89
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-8.23
CC1CCC(C)CC1,-4.47
CN1CCCC1=O,1.0
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64
Cc1ccc(O)c(C)c1,-1.19
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.22
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,-6.51
NC(Cc1ccc(O)cc1)C(=O)O,-2.57
Cc1ccccc1C,-2.8
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23
C=CCN(CC=C)C(=O)C(Cl)Cl,-1.62
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,-2.44
O=c1cc[nH]c(=O)[nH]1,-1.48
CCCCCNCCOC(=O)c1ccc(N)cc1,-3.27
O=C(O)c1ccccc1I,-2.73
C=C(C)C1CCC(C)C(=O)C1,-2.18
O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O,-2.7
Clc1ccc2ccccc2c1,-4.14
Cc1cc(O)no1,-0.07
Nc1ccc(O)cc1,-0.8
O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,-2.63
O=CNc1ccccc1,-0.68
CCCC(=O)OC,-0.82
Oc1ccccn1,1.02
Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,-6.62
C1CCCC1,-2.64
C/C=C\C=O,0.32
O=C(Nc1ccccc1)c1ccccc1I,-4.21
C=CC(=O)OCC,-0.74
CCc1cccs1,-2.59
CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,-2.87
CC(C)(C)CCCO,-1.55
O=C(O)c1ccco1,-0.48
CCCN(CCC)CCC,-2.28
Cc1ccncc1C,0.36
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,-4.95
CN(C)C(=S)SSC(=S)N(C)C,-3.9
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,-3.71
CCc1cccc(CC)c1N,-2.35
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,-3.29
CC(C)CBr,-2.43
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.19
Cc1ccc([N+](=O)[O-])cc1,-2.49
Cc1cc(C)c(C)c(C)c1C,-4.0
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-1.95
CNc1ccccc1,-1.28
CC(=O)CC(=O)CC(C)C,-1.6
CNC(=O)Oc1ccccc1C1OCCO1,-1.57
CCCCCCc1ccc(O)cc1O,-2.59
C=C(C)C(=O)OC,-0.8
C=CCBr,-1.5
CC(=O)Nc1ccc(O)cc1,-1.03
Cc1ccc2cc(C)ccc2c1,-4.89
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-2.76
CCOC(=O)CC,-0.66
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,-2.74
C#CCCCCCC,-3.66
CCCCCc1ccccc1,-4.64
c1ccc(-c2ccccn2)nc1,-1.42
Cc1ccnc(C)c1,0.38
ClC(Cl)Br,-1.54
C=C(C)C1CC=C(C)CC1,-4.0
CNN,1.34
OC(c1ccccc1)c1ccccc1,-2.55
S=c1cnc2cncnc2[nH]1,-2.71
CCCCCCOC(N)=O,-1.92
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C=CC4(C)C3CCC21C,-4.95
CCCCCCCCC(=O)OCC,-3.8
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.89
Ic1[nH]c(I)c(I)c1I,-3.46
Cc1cccc(Br)c1,-3.52
CCCCC(=O)OC,-1.36
COc1cc(C(=O)O)ccc1O,-2.05
O=C(O)c1ccccc1C(=O)O,-2.11
Nc1cccc2ccccc12,-1.92
CCc1ccc(C)cc1,-3.11
CC(=O)N(C)C,1.11
CCS,-0.6
O=C(O)CCCCCCCC(=O)O,-1.89
OCC(O)C(O)CO,0.7
