smiles,LogS
CCCCCCCCCC(=O)O,-3.44
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,-10.41
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-6.18
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-4.43
CCCOC(=O)c1ccccc1,-2.67
O=C(O)c1ccsc1,-1.47
c1ccncc1,0.76
CC(C)CCOC(=O)c1ccccc1O,-3.16
C=CCc1ccc(OC)cc1,-2.92
CC1CCC(C(C)C)C(O)C1,-2.53
Oc1ccccc1Cl,-1.06
Clc1cccc(Cl)c1-c1ccccc1,-5.21
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,-5.28
OCCN(CCO)c1ccccc1,-0.73
c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.06
CC(=O)Nc1ccc(OC(C)=O)cc1,-1.91
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,-1.84
CCN(CC)CCOC(=O)c1ccc(N)cc1,-1.4
CNC(C)C(O)c1ccccc1,-0.42
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13
COC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.66
BrCCCBr,-2.08
BrCCBr,-1.68
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-8.3
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01
CNC(N)=O,1.13
CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,-3.09
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,-2.7
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.96
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,-2.86
c1ccc2cc3cc4ccccc4cc3cc2c1,-8.6
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-3.12
CCCBr,-1.73
CCC(CC)C(=O)O,-0.81
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66
O=C(O)c1ccccc1Cl,-1.89
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,-2.43
Cc1ccc2ccccc2c1,-3.77
CC(C)(C)c1ccccc1,-3.66
Cc1c[nH]c2ccccc12,-2.42
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,-3.14
c1cc2ccc3cccc4ccc(c1)c2c34,-6.19
Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,-3.79
c1ccc2c(c1)Cc1cc3ccccc3cc1-2,-8.04
CCC(=O)c1ccc(N)cc1,-2.63
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-0.63
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02
C/C=C\CC,-2.54
C=CCC(C)C,-3.24
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.15
Nc1ccc2cc3ccccc3cc2c1,-5.17
CCCCC(C)O,-0.89
O=C(O)c1cc(=O)[nH]c(=O)[nH]1,-1.93
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,-8.66
Cc1ccc(C(=O)O)cc1,-2.6
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-2.06
C=CCSS(=O)CC=C,-0.83
C/C=C\c1ccc(OC)cc1,-3.13
COC(=O)c1ccc(OC)cc1,-2.41
Brc1ccc(Br)c(Br)c1,-4.5
Clc1cccc(-c2ccccc2)c1,-4.88
CC(=O)OCCC(C)C,-1.92
CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.7
CCOC(C)C,-0.55
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-5.68
CC(=O)c1ccccc1,-1.28
CCCCCCCCCCCCCCCCO,-7.26
CC(O)c1ccccc1,-0.92
CCCCCCCC(=O)OC,-3.39
CCCCCCCOC(N)=O,-2.62
OCc1ccccc1,-0.4
CC(C)(C)COC(N)=O,-0.8
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.24
CC1CCCCC1,-3.85
CCCCCCCCCC(=O)OC,-4.63
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.43
C1CCCCC1,-3.1
CC(=O)NC(N)=O,-0.9
CCCCSP(=O)(SCCCC)SCCCC,-5.14
Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O,-1.56
CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64
O=C(O)CCCCC(=O)O,-0.82
N#CN=C(N)N,-0.31
CCCCCCCl,-3.12
COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,-4.82
COc1ccc2ccc(=O)oc2c1CC=C(C)C,-4.31
S=C=Nc1cccc2ccccc12,-4.6
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-1.22
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,-5.18
c1ccc2ocnc2c1,-1.16
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,-8.49
O=CNC(N1CCN(C(NC=O)C(Cl)(Cl)Cl)CC1)C(Cl)(Cl)Cl,-4.19
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,-2.45
CC1CCCC(=O)C1,-1.87
Clc1ccc(Cl)c(-c2ccccc2)c1Cl,-6.29
CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-4.24
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-8.01
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-1.91
Oc1ccncc1,1.02
COC(=O)c1cc(Cl)cc(N)c1Cl,-3.26
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,-4.26
CCCCOCCO,-0.42
Oc1cccc2ncccc12,-2.54
Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,-7.8
Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl,-8.42
NNC(=O)Nc1ccccc1,-2.33
CCCCCCCC(=O)OCC,-3.39
