32
process will start at : 
Thu Mar 30 23:48:21 CST 2023
++++++++++++++++++++++++++++++++++++++++
Load GaoDataSet from dataset/Hou1289.csv ... done (1290 lines, 21.588 seconds) 
# of all graphs/labels:      1289
# of all graphs/labels:      1289
# of training graphs/labels:      1031
# of validing graphs/labels:      129
# of testing graphs/labels:      129
>>> Training of the Model >>>
Start at:  Thu Mar 30 23:52:17 2023
PID:       17598
Learning rate:               1E-03
Batch size:                  32
Maximum epochs:              500
Output frequency:            1
Device:                      cpu
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0           1.688           1.356           1.812           0.172           0.621           0.975           1.276           0.570           0.725          15.106
         1           1.144           0.933           1.219           0.625           0.784           0.860           1.122           0.668           0.772          19.503
         2           1.049           0.876           1.126           0.680           0.817           0.777           1.005           0.733           0.803          23.900
         3           0.976           0.824           1.056           0.719           0.836           0.759           0.985           0.744           0.810          28.272
         4           0.945           0.800           1.026           0.735           0.845           0.755           0.975           0.749           0.814          32.643
         5           0.922           0.782           1.003           0.746           0.852           0.757           0.967           0.753           0.818          37.008
         6           0.907           0.771           0.988           0.754           0.857           0.757           0.960           0.757           0.819          41.386
         7           0.890           0.759           0.972           0.762           0.862           0.758           0.954           0.760           0.819          45.760
         8           0.877           0.749           0.959           0.768           0.865           0.755           0.945           0.764           0.822          50.124
         9           0.863           0.740           0.945           0.775           0.869           0.755           0.940           0.767           0.822          54.498
        10           0.847           0.729           0.931           0.782           0.872           0.740           0.915           0.779           0.828          58.871
        11           0.826           0.715           0.913           0.790           0.875           0.729           0.900           0.786           0.830          63.316
        12           0.806           0.700           0.892           0.799           0.881           0.716           0.886           0.793           0.832          67.675
        13           0.801           0.696           0.888           0.801           0.882           0.708           0.875           0.798           0.834          72.038
        14           0.788           0.685           0.873           0.808           0.887           0.699           0.867           0.802           0.833          76.398
        15           0.783           0.681           0.868           0.810           0.888           0.693           0.861           0.804           0.837          80.765
        16           0.774           0.674           0.860           0.813           0.891           0.686           0.856           0.807           0.836          85.240
        17           0.769           0.669           0.855           0.816           0.892           0.680           0.849           0.810           0.838          89.627
        18           0.763           0.664           0.849           0.818           0.894           0.675           0.846           0.811           0.839          94.011
        19           0.759           0.660           0.844           0.820           0.896           0.669           0.842           0.813           0.840          98.382
        20           0.755           0.656           0.841           0.822           0.897           0.666           0.838           0.814           0.844         102.749
        21           0.750           0.652           0.836           0.824           0.898           0.661           0.836           0.816           0.844         107.131
        22           0.747           0.649           0.832           0.825           0.899           0.655           0.831           0.817           0.845         111.496
        23           0.745           0.647           0.831           0.826           0.900           0.654           0.828           0.819           0.849         115.885
        24           0.741           0.644           0.827           0.828           0.902           0.647           0.824           0.821           0.850         120.321
        25           0.738           0.641           0.824           0.829           0.902           0.645           0.820           0.822           0.852         124.714
        26           0.734           0.638           0.820           0.830           0.904           0.641           0.818           0.823           0.851         129.080
        27           0.733           0.637           0.819           0.831           0.904           0.641           0.815           0.825           0.853         133.444
        28           0.729           0.633           0.815           0.832           0.905           0.636           0.814           0.825           0.853         137.809
