32
process will start at : 
Fri Apr  7 23:28:19 CST 2023
++++++++++++++++++++++++++++++++++++++++
Load GaoDataSet from dataset/ESOL.csv ... done (1145 lines, 24.985 seconds) 
# of all graphs/labels:      1144
# of all graphs/labels:      1144
# of training graphs/labels:      1030
# of testing graphs/labels:      114
>>> Training of the Model >>>
Start at:  Fri Apr  7 23:34:36 2023
PID:       243930
Learning rate:               1E-03
Batch size:                  32
Maximum epochs:              500
Output frequency:            1
Device:                      cpu
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0           4.349           4.906           7.337         -11.241           0.079           1.465           1.923           0.134           0.736          29.536
         1           0.863           1.278           1.673           0.364           0.713           1.098           1.464           0.499           0.810          32.471
         2           0.643           1.027           1.339           0.592           0.795           0.951           1.236           0.643           0.824          35.405
         3           0.576           0.951           1.237           0.652           0.815           0.888           1.142           0.695           0.835          38.349
         4           0.533           0.903           1.174           0.687           0.830           0.858           1.108           0.713           0.844          41.267
         5           0.503           0.868           1.129           0.710           0.842           0.839           1.083           0.725           0.852          44.193
         6           0.482           0.845           1.099           0.725           0.851           0.819           1.057           0.738           0.861          47.166
         7           0.465           0.825           1.075           0.737           0.857           0.790           1.025           0.754           0.867          50.109
         8           0.452           0.809           1.055           0.747           0.862           0.768           1.000           0.766           0.871          53.052
         9           0.441           0.795           1.038           0.755           0.867           0.749           0.977           0.777           0.873          55.983
        10           0.431           0.786           1.024           0.762           0.870           0.737           0.961           0.784           0.875          58.907
        11           0.426           0.783           1.016           0.765           0.873           0.741           0.967           0.781           0.876          61.830
        12           0.426           0.784           1.014           0.766           0.873           0.736           0.958           0.785           0.876          64.745
        13           0.420           0.777           1.005           0.770           0.875           0.735           0.958           0.785           0.877          67.670
        14           0.415           0.772           0.997           0.774           0.877           0.736           0.959           0.785           0.877          70.591
        15           0.411           0.768           0.991           0.777           0.879           0.731           0.952           0.788           0.878          73.513
        16           0.407           0.763           0.983           0.780           0.881           0.725           0.943           0.792           0.879          76.429
        17           0.401           0.756           0.974           0.785           0.883           0.724           0.942           0.792           0.881          79.354
        18           0.397           0.753           0.969           0.787           0.884           0.722           0.940           0.793           0.883          82.275
        19           0.394           0.749           0.963           0.789           0.886           0.721           0.937           0.795           0.884          85.267
        20           0.391           0.745           0.958           0.791           0.887           0.720           0.935           0.796           0.885          88.193
        21           0.388           0.743           0.955           0.793           0.888           0.718           0.932           0.797           0.885          91.115
        22           0.386           0.740           0.951           0.794           0.889           0.718           0.933           0.796           0.885          94.037
        23           0.384           0.737           0.948           0.796           0.890           0.717           0.932           0.797           0.885          96.960
        24           0.382           0.735           0.944           0.797           0.890           0.713           0.928           0.798           0.885          99.885
        25           0.379           0.732           0.940           0.799           0.891           0.714           0.928           0.798           0.886         102.811
        26           0.376           0.729           0.937           0.801           0.892           0.720           0.932           0.797           0.885         105.772
        27           0.375           0.727           0.934           0.802           0.893           0.721           0.932           0.797           0.884         108.695
        28           0.373           0.725           0.931           0.803           0.894           0.721           0.933           0.796           0.886         111.623
        29           0.372           0.723           0.929           0.804           0.894           0.720           0.930           0.797           0.885         114.541
        30           0.370           0.721           0.926           0.805           0.895           0.714           0.924           0.800           0.887         117.457
        31           0.367           0.718           0.923           0.806           0.896           0.716           0.924           0.800           0.886         120.378
        32           0.367           0.717           0.921           0.807           0.896           0.712           0.920           0.802           0.887         123.299
        33           0.364           0.714           0.918           0.808           0.897           0.715           0.922           0.801           0.889         126.220
        34           0.364           0.714           0.916           0.809           0.897           0.710           0.914           0.805           0.890         129.144
        35           0.360           0.709           0.913           0.811           0.898           0.714           0.917           0.803           0.890         132.064
        36           0.359           0.707           0.909           0.812           0.899           0.716           0.921           0.802           0.891         134.987
        37           0.360           0.709           0.911           0.811           0.899           0.704           0.906           0.808           0.894         137.909
        38           0.356           0.703           0.905           0.814           0.900           0.705           0.908           0.807           0.893         140.834
        39           0.355           0.703           0.904           0.814           0.900           0.703           0.904           0.809           0.896         143.828
        40           0.353           0.699           0.900           0.816           0.901           0.707           0.908           0.807           0.895         146.751
