smiles,LogS
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1 ,-0.85
CNC(=O)Oc1cc(C)cc(C)c1,-2.581
BrC(Br)Br,-1.91
ClC(=C(Cl)Cl)Cl,-2.54
CCC(C)(C)O,0.15
ClCCCl,-1.06
C/C1CCCCC1\C,-4.3
c1cC2C(=O)NC(=O)C2cc1,-2.932
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,0.358
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-2.518
Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl ,-8.56
Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,-1.95
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,-2.593
CCCC(O)CCC,-1.4
COc2ncc1nccnc1n2,-1.11
Cc1cccc2c1ccc3ccccc32,-5.85
Cc1cccc(C)n1,0.45
NC(=O)c1cnccn1,-0.667
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,-3.043
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886
Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,-2.484
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23
COC(=O)c1cc(O)c(O)c(O)c1 ,-1.24
O=N(=O)OCC(CON(=O)=O)ON(=O)=O ,-2.22
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.13
CN(C)C(=O)Nc2ccc(Oc1ccc(Cl)cc1)cc2,-4.89
CCCCC=O,-0.85
O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,-2.982
CCCC(C)(O)CC,-0.98
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804
COC(=O)C,0.46
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696
ClCc1ccccc1,-2.39
CCSCc1ccccc1OC(=O)NC ,-2.09
c2ccc1scnc1c2 ,-1.5
CC(C)CCC(C)(C)C,-5.05
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337
COC(=O)c1cccnc1 ,-0.46
CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028
c1ccc2c(c1)c3ccccc3c4ccccc24,-6.726
CCCC=O,-0.01
CCCO,0.62
CCOC=C,-0.85
CBr,-0.79
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507
OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O,-3.604
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,-2.322
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.708
CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C,-4.925
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,-7.8
O=C2NC(=O)C1(CC1)C(=O)N2 ,-1.886
OC(C(=O)c1ccccc1)c2ccccc2,-2.85
O=C1CNC(=O)N1 ,-0.4
CC(C)CCOC=O,-1.52
O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.614
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785
ClC(Cl)C(Cl)(Cl)Cl,-2.6
Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,-4.46
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2,-3.61
NC(N)=NC#N ,-0.31
CCOP(=O)(OCC)OCC,0.43
Cc1cc2ccccc2cc1C,-4.72
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,-5.293
CCCCOC=O,-1.37
CC1=CCCCC1,-3.27
Clc1ccccc1c2ccccc2Cl ,-5.27
COc1ccc(C=CC)cc1,-3.13
c2ccc1NCCc1c2 ,-1.04
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328
CC(=C)C(=C)C,-2.4
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64
CCCC(=O)C,-0.19
c1ccsc1,-1.33
CC(=O)Nc1ccc(F)cc1,-1.78
CCCCC#C,-2.36
OC1CCCCCCC1,-1.29
c1ccoc1,-0.82
O=c1[nH]cnc2nc[nH]c12 ,-2.296
CCC(C)(C)Cl,-2.51
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,-6.005
c2c(C)cc1nc(C)ccc1c2 ,-1.94
O=c2[nH]c(=O)c1[nH]c(=O)[nH]c1[nH]2 ,-3.93
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-5.613
c1ccc(cc1)c2ccccc2,-4.345
COc1ncnc2nccnc12 ,-1.11
ClC(Cl)(Cl)C#N,-2.168
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.32
NC(=O)c1cccnc1 ,0.61
O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,-2.253
Brc1cc(Br)c(Br)cc1Br,-6.98
CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,-4.286
CC(=O)Nc1ccc(Cl)cc1,-2.843
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2 ,-4.93
c1ccc2ccccc2c1,-3.6
NC(=O)N,0.96
ClCC#CCOC(=O)Nc1cccc(Cl)c1,-4.37
c1cnc2c(c1)ccc3ncccc23,-2.68
CCN2c1nc(C)cc(C)c1NC(=O)c3cccnc23 ,-4.554
c1ccc2c(c1)[nH]c3ccccc32,-5.27
BrC(Cl)Cl,-1.54
c1c(Br)ccc2ccccc12 ,-4.4
CCCCCCBr,-3.81
CCCBr,-1.73
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7
Cc1ccc(O)c(C)c1,-1.19
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09
CCC(CC)CO,-1.17
CC(C)C=C,-2.73
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,-4.19
c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,-4.53
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
C=CCC=C,-2.09
CCCC(=C)C,-3.03
