smiles,LogS
Clc1c(Cl)c(Cl)c(c2c1nccn2)Cl,-5.4299998
Nc1cccc2c1nccn2,-1.362452409
CSc1nnc(s1)N,-0.515702772
CCNc1nncs1,-1.000608932
CC(=O)Nc1nnc(s1)S(=O)(=O)N,-2.3599999
CC(=O)Nc1nnc(s1)S(=O)(=O)[NH-].[Na+],-0.757351556
CC(=O)Nc1nnc(s1)S(=O)(=O)N	,-2.44
Cc1nnc(s1)N,0.150908576
CN([C@@H]1C(=C(C(=O)N)C(=O)[C@]2([C@H]1[C@@H](O)[C@@H]1[C@@H](C)c3cccc(c3C(=O)C1=C2O)O)O)O)C,-2.8699999
CN([C@@H]1C(=C(C(=O)N)C(=O)[C@@]2([C@H]1[C@@H](O)[C@H]1C(=C2O)C(=O)c2c([C@@]1(C)O)cccc2O)O)O)C	,-3.09
CN([C@@H]1C(=C(C(=O)N)C(=O)[C@]2([C@H]1[C@@H](O)[C@H]1C(=C2O)C(=O)c2c([C@@]1(C)O)cccc2O)O)O)C,-3.1400001
CN([C@@H]1C(=C(C(=O)N)C(=O)[C@]2([C@H]1C[C@H]1C(=C2O)C(=O)c2c([C@@]1(C)O)cccc2O)O)O)C,-3.1199999
CN([C@@H]1C(=CC(=O)[C@]2([C@H]1C[C@H]1C(=C2O)C(=O)c2c([C@@]1(C)O)cccc2)O)O)C,-1.42
CN([C@@H]1C(=C(C(=O)N)C(=O)[C@]2([C@H]1C[C@H]1C(=C2O)C(=O)c2c([C@@]1(C)O)c(Cl)ccc2O)O)O)C,-2.8800001
CN([C@@H]1C(=C(C(=O)N)C(=O)[C@]2([C@H]1C[C@H]1C(=C2O)C(=O)c2c([C@@H]1O)c(Cl)ccc2O)O)O)C,-2.52
O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)CC[C@@H]2c1ccc(=O)oc1)C)C,-5.801144255
O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)C[C@@H]([C@@H]2c1ccc(=O)oc1)OC(=O)C)C)C,-5.292486669
O[C@H]1CC[C@]2([C@](C1)(O)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)CC[C@@H]2c1ccc(=O)oc1)C)C,-3.768475227
CC1(C)CC=CC(N1)(C)C,-1.144204764
CCC1=CC(N(C(C1)(C)C)C)(C)C,-2.518090206
CN1C(C)(C)CC=CC1(C)C,-1.426542431
COC(=O)C1=CCCN(C1)C.Br,0.175890739
COC(=O)C1=CCCN(C1)C.Cl,0.283327665
CCCCC1=CC(N(C(C1)(C)C)C(=O)CN(CC)CC)(C)C,-5.730357367
CCN(CC(=O)N1C(C)(C)CC=CC1(C)C)CC,-3.595912801
CC1=CC(NC(C1)(C)C)(C)C,-1.714162613
COC(=O)C1=CCCN(C1)C,0.81
CN(CCCC1=CC(N(C(C1)(C)C)C)(C)C)C,-2.674910344
C#CC1=CC(N(C(C1)(C)C)C)(C)C,-1.828730941
COc1ccc(cc1)c1ssc(=S)c1,-4.216199331
O=C1C[C@@H]2C([C@]1(CC2)CS(=O)(=O)O)(C)C.COc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)CCc1ccco1,-5.253034588
OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)CC(=O)[C@H]1[C@H]2CCC2=CC(=O)C=C[C@]12C,-3.060254593
CCCC(=O)O[C@@]1([C@@H](C)C[C@@H]2[C@]1(C)CC(=O)[C@]1([C@H]2CCC2=CC(=O)C=C[C@]12C)F)C(=O)CCl,-5.902098277
Nc1ncnc2c1cn[nH]2,-0.877898746
Clc1ccc(c(c1)Sc1ccc(cc1)Cl)NCCCN1CCCCC1.Cl,-6.807957607
CCCCOc1ccc(cc1)OCC(=O)N(c1cccc(c1)OC)CCN1CCCCC1.Cl,-6.595771238
NC1CCC1.NC1CCC1.[Cl-].[Cl-].[Pt+2],-2.48347615
OS(=O)(=O)NC1CCCCC1.CN(CC/C=C/1\c2ccccc2CN(c2c1cccc2)C)C,-4.877054713
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](C)O[C@H](C[C@@H]2OC(=O)C)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]2[C@@H]3C[C@@H](O)[C@]3([C@]2(O)CC[C@@H]3C2=CC(=O)OC2)C)C)[C@@H]([C@H]([C@@H]1O)O)O,-6.435624265
O=C([C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)N[C@]1(C)O[C@@]2(N(C1=O)[C@@H](Cc1ccccc1)C(=O)N1[C@H]2CCC1)O,-5.300636677
C[N+]1(C)CCN(CC1)c1ccccc1.[I-],0.219931018
COc1ccc2c(c1O)c1c3OCOc3cc3c1[C@H](C2)N(C)CC3,-4.118618872
c1ccc2c(c1)C(CC2)[NH2+]CC12CCC(CC1)(CC2)C[NH2+]C1CCc2c1cccc2.[Cl-].[Cl-],-7.113050965
Nc1nccnn1,1.017308239
Cl[Sn](c1ccccc1)(c1ccccc1)Cl,-3.837363645
CN1CCCC(C1)CN1c2ccccc2Sc2c1cccc2,-4.744747871
CN1CCC[C@@H](C1)CN1c2ccccc2Sc2c1cccc2,-4.7399998
CN1CCCC(C1)CN1c2ccccc2Sc2c1cccc2.Cl,-6.188043051
ClC1=C(Cl)C(C(=C1Cl)Cl)(Cl)Cl,-5.1799998
COc1ccc(cc1)N1CCN(CC1)CC1CN=C(O1)N,-1.898636348
NC1=NCC(O1)CN1CCN(CC1)c1cccc(c1)C(F)(F)F,-3.481694001
NC1=NCC(O1)CN1CCN(CC1)c1ccc(cc1)Cl,-2.810347139
NC1=NCC(O1)CN1CCN(CC1)c1ccc(c(c1)Cl)Cl,-3.65037904
COc1cccc(c1)N1CCN(CC1)CC1CN=C(O1)N,-2.060857907
Clc1cccc(c1)N1CCN(CC1)CC1CN=C(O1)N,-2.912838157
NC1=NCC(O1)CN1CCN(CC1)c1ccccc1Cl,-2.947058186
CCOc1ccccc1N1CCN(CC1)CC1CN=C(O1)N,-2.453241317
NC1=NCC(O1)CN1CCN(CC1)c1ccccc1,-1.825146622
Nc1nnc(c(n1)c1ccccc1)c1ccccc1,-3.044709461
COc1nnc(c(n1)c1ccccc1)c1ccccc1,-4.040239601
