smiles,LogS
OCC(c1ccccc1)(c1ccccc1)COC(=O)N,-2.712489678
CCC(c1cccc(c1)C(F)(F)F)(c1ccccc1)O,-4.195726165
CCC(=O)C(c1ccccc1)(c1ccccc1)CCN(C)C,-2.995649881
C[N+](CCOC(c1ccccc1)c1ccccc1)(C)C.[Br-],-2.9845335
CN(CC(C(c1ccccc1C)(c1ccccc1)O)C)C.Cl,-3.578635123
OC(C(Cl)(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl,-5.6700001
C/C=C/C(c1ccccc1)(c1ccccc1)CC([NH+](C)C)C.[Cl-],-5.068148991
ClCC[NH+](C(c1ccccc1)c1ccccc1)CC.[Cl-],-4.186377204
CN(CCOC(c1ccc(cc1)Br)(c1ccccc1)C)C.Cl,-4.576569426
CCC(C(c1ccccc1)(c1ccccc1)CC([NH+](C)C)C)Cl.[Cl-],-5.665743421
CN(C(=O)C(c1ccccc1)c1ccccc1)C,-2.98
Clc1ccc(cc1)[C@@H](C(Cl)(Cl)Cl)c1ccccc1Cl,-6.6199999
CCC(=O)C(c1ccccc1)(c1ccccc1)C[C@H]([NH+](C)C)C.[Cl-],-3.853222647
CCC(=O)C(c1ccccc1)(c1ccccc1)C[C@@H](N(C)C)C.Cl,-3.853222647
CC(C(c1ccccc1)c1ccccc1)CN(C)C.Cl,-3.244684835
C[NH+](CCOC(c1ccccc1Cl)c1ccccc1)C.[Cl-],-3.560288813
CN(CCOC(c1ccc(cc1)Cl)c1ccccc1)C.Cl,-3.560288813
C[NH+](CCOC(c1cccc(c1)Cl)c1ccccc1)C.[Cl-],-3.560288813
c1ccc(cc1)Cc1ccccc1,-4.1700001
CNCCOC(c1ccccc1C)c1ccccc1.Cl,-2.685517074
CC(C(c1ccccc1)(c1ccccc1)OC(=O)C)C[NH+](C)C.[Cl-],-4.168521204
CC(c1cc(Cc2cc(cc(c2O)C(C)(C)C)C(C)C)c(c(c1)C(C)(C)C)O)C,-9.868394839
CN(CCOC(c1ccc(cc1)Br)(c1ccccc1)C)C,-5.602663937
CC(=O)NC(c1ccccc1)(c1ccccc1)CC([N+](C)(C)C)C.[I-],-3.233899469
CC([N+](C(C)C)(CCC(c1ccccc1)(c1ccccc1)C(=O)N)C)C.[I-],-3.54713787
ClC([C@@H](c1ccccc1Cl)c1ccc(cc1)Cl)Cl,-6.5100002
CCC(C(c1ccccc1)(c1ccccc1)CC([NH+](C)C)C)O.[Cl-],-4.157672766
CC[N+](CCOC(=O)C(c1ccccc1)(c1ccccc1)O)(CC)C.[Br-],-1.25093753
