32
process will start at : 
Thu Mar 30 11:40:50 CST 2023
++++++++++++++++++++++++++++++++++++++++
Load GaoDataSet from dataset/CuiTrain.csv ... done (7955 lines, 126.781 seconds) 
Load GaoDataSet from dataset/CuiValid.csv ... done (995 lines, 16.388 seconds) 
# of training graphs/labels:      7954
# of Validing graphs/labels:      994
>>> Training of the Model >>>
Start at:  Thu Mar 30 11:49:58 2023
PID:       451397
Learning rate:               1E-03
Batch size:                  32
Maximum epochs:              500
Output frequency:            1
Device:                      cpu
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC       ValidLoss        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0           4.402           3.162           4.480          -3.286           0.269           2.319           1.716           2.304          -0.156           0.524          47.204
         1           1.825           1.418           1.877           0.247           0.573           1.654           1.280           1.692           0.376           0.655          82.359
         2           1.584           1.236           1.650           0.419           0.677           1.532           1.197           1.578           0.458           0.717         117.169
         3           1.487           1.164           1.564           0.478           0.719           1.478           1.141           1.527           0.492           0.728         151.779
         4           1.433           1.130           1.511           0.512           0.734           1.477           1.118           1.527           0.492           0.741         186.199
         5           1.399           1.100           1.480           0.532           0.749           1.481           1.138           1.530           0.490           0.742         220.912
         6           1.373           1.078           1.456           0.547           0.759           1.458           1.119           1.508           0.505           0.749         255.512
         7           1.358           1.067           1.441           0.556           0.763           1.406           1.074           1.460           0.536           0.761         290.192
         8           1.335           1.048           1.423           0.568           0.775           1.450           1.108           1.501           0.509           0.743         325.054
         9           1.326           1.043           1.412           0.574           0.778           1.394           1.073           1.448           0.543           0.769         359.910
        10           1.312           1.033           1.400           0.581           0.782           1.380           1.058           1.436           0.551           0.775         394.662
        11           1.294           1.017           1.385           0.590           0.789           1.365           1.045           1.421           0.560           0.772         429.325
        12           1.291           1.014           1.380           0.594           0.790           1.369           1.054           1.425           0.558           0.774         463.983
        13           1.262           0.988           1.353           0.609           0.801           1.369           1.042           1.425           0.558           0.776         498.657
        14           1.262           0.992           1.354           0.608           0.801           1.339           1.018           1.397           0.575           0.793         533.303
        15           1.246           0.973           1.339           0.617           0.807           1.329           1.021           1.387           0.581           0.781         568.180
        16           1.231           0.969           1.325           0.625           0.810           1.292           0.989           1.352           0.602           0.799         603.046
        17           1.230           0.970           1.325           0.625           0.808           1.325           1.001           1.383           0.583           0.791         637.986
        18           1.220           0.955           1.320           0.628           0.814           1.340           1.008           1.397           0.575           0.788         673.142
        19           1.209           0.945           1.307           0.635           0.817           1.293           0.982           1.354           0.601           0.801         709.147
        20           1.202           0.944           1.302           0.638           0.819           1.308           0.996           1.367           0.593           0.793         745.211
        21           1.187           0.932           1.286           0.647           0.823           1.278           0.972           1.339           0.610           0.806         781.246
        22           1.192           0.928           1.293           0.643           0.823           1.304           0.985           1.364           0.595           0.799         817.309
        23           1.177           0.924           1.278           0.651           0.826           1.222           0.945           1.286           0.640           0.815         853.454
        24           1.165           0.914           1.266           0.658           0.829           1.273           0.966           1.334           0.613           0.808         889.546
        25           1.147           0.905           1.253           0.665           0.833           1.275           0.965           1.336           0.611           0.804         925.983
        26           1.168           0.916           1.268           0.657           0.830           1.258           0.954           1.320           0.621           0.810         961.750
        27           1.151           0.903           1.253           0.665           0.836           1.274           0.958           1.335           0.612           0.808         997.727
        28           1.143           0.894           1.247           0.668           0.838           1.250           0.964           1.312           0.625           0.804        1033.371
        29           1.148           0.896           1.250           0.666           0.837           1.264           0.957           1.325           0.617           0.801        1069.095
        30           1.137           0.892           1.239           0.672           0.841           1.225           0.925           1.289           0.638           0.815        1105.219
        31           1.131           0.884           1.237           0.673           0.842           1.273           0.960           1.334           0.612           0.808        1140.921
        32           1.146           0.892           1.254           0.664           0.838           1.238           0.938           1.301           0.631           0.813        1176.805
        33           1.125           0.881           1.233           0.675           0.841           1.231           0.922           1.294           0.635           0.817        1212.499
        34           1.120           0.881           1.223           0.681           0.844           1.246           0.951           1.309           0.627           0.812        1249.296
        35           1.118           0.880           1.220           0.682           0.843           1.227           0.917           1.291           0.637           0.815        1289.809
        36           1.123           0.881           1.229           0.677           0.843           1.211           0.923           1.276           0.646           0.814        1330.318
        37           1.107           0.869           1.215           0.685           0.847           1.209           0.926           1.274           0.647           0.816        1370.602
        38           1.109           0.868           1.220           0.682           0.848           1.263           0.955           1.325           0.618           0.813        1411.063
        39           1.104           0.862           1.211           0.687           0.848           1.196           0.930           1.261           0.654           0.819        1451.320
        40           1.097           0.856           1.206           0.689           0.853           1.203           0.937           1.268           0.650           0.815        1491.566
        41           1.111           0.868           1.221           0.682           0.850           1.197           0.903           1.262           0.653           0.822        1532.543
        42           1.102           0.865           1.208           0.688           0.848           1.210           0.936           1.274           0.646           0.815        1572.773
        43           1.108           0.863           1.215           0.685           0.851           1.215           0.927           1.280           0.643           0.818        1613.136
        44           1.099           0.860           1.206           0.689           0.850           1.209           0.917           1.273           0.647           0.818        1653.463
        45           1.102           0.859           1.208           0.688           0.849           1.221           0.923           1.285           0.640           0.818        1690.977
        46           1.094           0.856           1.205           0.690           0.852           1.198           0.917           1.263           0.653           0.819        1726.773
        47           1.091           0.853           1.202           0.692           0.854           1.217           0.918           1.282           0.642           0.819        1762.418
        48           1.095           0.855           1.207           0.689           0.851           1.196           0.904           1.262           0.653           0.818        1797.619
        49           1.091           0.855           1.199           0.693           0.853           1.195           0.901           1.260           0.654           0.827        1833.085
        50           1.093           0.852           1.202           0.691           0.853           1.184           0.895           1.250           0.660           0.819        1868.243
        51           1.086           0.848           1.198           0.694           0.854           1.219           0.938           1.284           0.641           0.815        1903.326
        52           1.070           0.839           1.182           0.702           0.856           1.167           0.887           1.234           0.668           0.829        1938.301
        53           1.078           0.847           1.184           0.700           0.854           1.187           0.908           1.253           0.658           0.820        1973.217
        54           1.090           0.851           1.201           0.692           0.853           1.180           0.896           1.247           0.662           0.822        2008.318
        55           1.087           0.850           1.195           0.695           0.854           1.195           0.908           1.261           0.654           0.820        2042.731
        56           1.074           0.842           1.185           0.700           0.855           1.186           0.903           1.252           0.659           0.820        2077.110
        57           1.079           0.844           1.188           0.699           0.855           1.173           0.896           1.239           0.665           0.831        2111.500
        58           1.073           0.845           1.184           0.701           0.856           1.215           0.917           1.280           0.643           0.817        2146.003
        59           1.068           0.839           1.179           0.703           0.857           1.183           0.911           1.249           0.660           0.823        2180.468
        60           1.078           0.843           1.190           0.698           0.856           1.203           0.914           1.268           0.650           0.823        2214.887
        61           1.073           0.836           1.185           0.700           0.856           1.202           0.904           1.267           0.651           0.820        2249.924
        62           1.073           0.841           1.182           0.701           0.857           1.167           0.886           1.234           0.668           0.831        2285.143
        63           1.071           0.840           1.183           0.701           0.856           1.222           0.916           1.286           0.640           0.815        2320.685
        64           1.057           0.829           1.168           0.709           0.860           1.204           0.913           1.269           0.649           0.818        2355.986
        65           1.070           0.840           1.179           0.703           0.858           1.198           0.908           1.263           0.653           0.821        2391.371
        66           1.064           0.832           1.173           0.706           0.859           1.194           0.914           1.260           0.654           0.821        2426.810
        67           1.071           0.834           1.184           0.701           0.858           1.175           0.894           1.242           0.664           0.825        2462.504
        68           1.069           0.834           1.184           0.701           0.859           1.226           0.936           1.290           0.638           0.811        2498.090
        69           1.059           0.831           1.170           0.708           0.860           1.202           0.922           1.267           0.651           0.822        2533.579
        70           1.066           0.834           1.174           0.706           0.860           1.202           0.897           1.267           0.650           0.825        2569.082
        71           1.060           0.829           1.172           0.707           0.861           1.186           0.906           1.252           0.659           0.826        2604.635
        72           1.063           0.827           1.173           0.706           0.861           1.205           0.910           1.270           0.649           0.816        2640.219
        73           1.059           0.828           1.170           0.708           0.861           1.208           0.902           1.273           0.647           0.819        2675.797
        74           1.054           0.822           1.165           0.710           0.863           1.191           0.896           1.257           0.656           0.830        2711.304
        75           1.059           0.828           1.170           0.708           0.860           1.154           0.878           1.221           0.675           0.826        2746.777
        76           1.060           0.830           1.170           0.708           0.861           1.172           0.901           1.239           0.666           0.827        2782.199
        77           1.050           0.820           1.164           0.711           0.862           1.225           0.917           1.288           0.638           0.819        2817.398
        78           1.058           0.832           1.168           0.709           0.860           1.176           0.891           1.242           0.664           0.828        2852.672
        79           1.057           0.824           1.171           0.707           0.861           1.177           0.893           1.243           0.664           0.820        2887.829
        80           1.057           0.824           1.167           0.709           0.862           1.208           0.906           1.273           0.647           0.817        2923.085
        81           1.053           0.820           1.167           0.709           0.862           1.163           0.893           1.230           0.671           0.824        2958.404
        82           1.047           0.822           1.158           0.714           0.863           1.212           0.916           1.276           0.645           0.819        2993.636
