smiles,LogS
CCCCCC1CCCC1,-6.08
CCCC1CCCC1,-4.74
CC1CCCC1,-3.3
C1CCCC1,-2.64
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,-4.883
CCOC(=O)c1cncn1C(C)c2ccccc2,-4.735
O=C1c2ccccc2C(=O)c3ccccc13,-5.19
COc2ncc1nccnc1n2,-1.11
Cc2cnc1cncnc1n2,-0.854
Cc1ncnc2nccnc12,-0.466
c2cnc1ncncc1n2,0.02
Cc2ncc1nccnc1n2,-0.12
COc2cnc1ncncc1n2,-1.139
Oc2ncc1nccnc1n2,-1.947
COc1ncnc2nccnc12 ,-1.11
COc2cnc1cncnc1n2,-0.91
CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45,-4.173
O=C(Nc1ccccc1)Nc2ccccc2,-3.15
CCN2c1ccccc1N(C)C(=S)c3cccnc23 ,-4.706
C1c2ccccc2c3cc4ccccc4cc13,-8.04
CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14
c1ccc2c(c1)sc3ccccc23,-4.38
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09
C1CCc2ccccc2C1,-4.37
Oc2ccc1CCCCc1c2 ,-1.99
OCC1OC(O)C(O)C(O)C1O,0.74
C1OC(O)C(O)C(O)C1O,0.39
C1CCOCC1,-0.03
c2ccc1NCCc1c2 ,-1.04
Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,-3.19
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,-6.005
CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,-5.382
c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O ,-4.314
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,-5.35
CC(=O)C3(C)CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C,-5.27
c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057
Cc1c(C)c2c3ccccc3ccc2c4ccccc14,-7.01
c1cccc2c3c(C)cc4ccccc4c3ccc12,-6.59
Nc3cc2c1ccccc1ccc2c4ccccc34 ,-6.2
Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57
C1C=CCC=C1,-2.06
Oc2cc(O)c1C(=O)CC(Oc1c2)c3ccc(O)c(O)c3,-3.62
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.281
Cc1c2ccccc2c(C)c3ccccc13,-6.57
c3ccc2c(O)c1ccccc1cc2c3 ,-4.73
Cc1c2ccccc2cc3ccccc13,-5.89
Cc1ccc2cc3ccccc3cc2c1,-6.96
c1ccc2cc3ccccc3cc2c1,-6.35
Nc3ccc2cc1ccccc1cc2c3 ,-5.17
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.018
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328
CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.696
CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3,-4.8
O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,-2.982
C1CCC2CCCCC2C1,-5.19
