32
process will start at : 
Mon Apr  3 23:51:18 CST 2023
++++++++++++++++++++++++++++++++++++++++
Load GaoDataSet from dataset/DelaneyTrain.csv ... done (916 lines, 15.549 seconds) 
Load GaoDataSet from dataset/DelaneyValid.csv ... done (115 lines, 1.604 seconds) 
# of training graphs/labels:      915
# of Validing graphs/labels:      114
>>> Training of the Model >>>
Start at:  Mon Apr  3 23:55:05 2023
PID:       307023
Learning rate:               1E-03
Batch size:                  32
Maximum epochs:              500
Output frequency:            1
Device:                      cpu
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC       ValidLoss        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0           7.795           5.087           6.848          -9.690           0.152           5.650           3.902           4.937          -7.128           0.392          18.483
         1           5.149           3.616           4.781          -4.210           0.273           4.507           3.221           4.058          -4.492           0.468          22.579
         2           3.883           2.895           3.674          -2.077           0.324           3.368           2.528           3.139          -2.286           0.440          26.587
         3           3.028           2.285           2.956          -0.992           0.405           2.811           2.121           2.673          -1.382           0.505          30.571
         4           2.487           1.910           2.454          -0.372           0.505           2.517           1.898           2.422          -0.956           0.569          34.573
         5           2.104           1.648           2.109          -0.014           0.563           2.086           1.602           2.046          -0.396           0.527          38.574
         6           1.873           1.487           1.906           0.172           0.596           1.678           1.312           1.683           0.055           0.646          42.580
         7           1.691           1.314           1.721           0.325           0.674           1.697           1.341           1.701           0.035           0.624          46.634
         8           1.573           1.274           1.633           0.393           0.682           1.343           1.116           1.380           0.365           0.691          50.620
         9           1.523           1.235           1.568           0.440           0.677           1.348           1.098           1.384           0.361           0.736          54.604
        10           1.412           1.154           1.472           0.506           0.711           1.263           1.065           1.306           0.431           0.723          58.593
        11           1.359           1.121           1.425           0.537           0.728           1.457           1.182           1.483           0.266           0.718          62.585
        12           1.368           1.118           1.424           0.538           0.733           1.318           1.104           1.357           0.386           0.738          66.580
        13           1.328           1.102           1.387           0.561           0.739           1.113           0.949           1.167           0.546           0.801          70.581
        14           1.251           1.037           1.315           0.606           0.764           1.322           1.060           1.360           0.383           0.733          74.611
        15           1.227           1.004           1.292           0.620           0.767           1.218           1.004           1.265           0.467           0.776          78.608
        16           1.220           1.009           1.290           0.621           0.771           1.216           1.002           1.262           0.469           0.796          82.589
        17           1.231           1.020           1.305           0.612           0.776           1.101           0.857           1.157           0.554           0.779          86.575
        18           1.210           0.994           1.280           0.627           0.778           1.129           0.958           1.182           0.534           0.793          90.571
        19           1.188           0.984           1.257           0.640           0.785           1.145           0.978           1.197           0.522           0.817          94.551
        20           1.166           0.959           1.237           0.651           0.798           0.988           0.815           1.051           0.631           0.802          98.533
        21           1.177           0.977           1.247           0.646           0.784           1.250           1.008           1.295           0.441           0.791         102.603
        22           1.149           0.966           1.227           0.657           0.794           1.184           0.996           1.233           0.493           0.760         106.664
        23           1.144           0.959           1.220           0.661           0.798           1.101           0.937           1.157           0.554           0.800         110.657
        24           1.101           0.907           1.174           0.686           0.812           1.004           0.864           1.066           0.621           0.793         114.638
        25           1.116           0.921           1.190           0.677           0.805           1.118           0.912           1.172           0.542           0.798         118.615
        26           1.159           0.949           1.232           0.654           0.796           1.069           0.897           1.127           0.576           0.810         122.598
        27           1.161           0.963           1.236           0.652           0.796           0.957           0.807           1.022           0.651           0.822         126.569
        28           1.089           0.893           1.169           0.689           0.822           1.099           0.948           1.155           0.555           0.779         130.552
        29           1.107           0.912           1.176           0.685           0.814           0.950           0.774           1.016           0.656           0.802         134.586
        30           1.082           0.910           1.158           0.694           0.819           1.168           0.965           1.218           0.505           0.784         138.564
        31           1.092           0.913           1.160           0.693           0.824           1.129           0.962           1.183           0.534           0.796         142.528
        32           1.080           0.893           1.154           0.696           0.817           1.009           0.860           1.071           0.618           0.793         146.495
        33           1.025           0.871           1.101           0.723           0.829           1.066           0.910           1.123           0.579           0.780         150.468
        34           1.051           0.880           1.126           0.711           0.821           0.961           0.822           1.026           0.649           0.801         154.428
        35           1.072           0.900           1.153           0.697           0.826           1.129           0.946           1.182           0.534           0.734         158.394
        36           1.040           0.859           1.117           0.716           0.838           1.079           0.907           1.136           0.569           0.778         162.355
        37           1.045           0.872           1.123           0.713           0.836           1.056           0.880           1.115           0.586           0.813         166.381
        38           1.033           0.865           1.115           0.717           0.838           0.993           0.847           1.056           0.628           0.792         170.350
        39           1.032           0.870           1.108           0.720           0.832           0.974           0.810           1.038           0.641           0.815         174.318
        40           1.008           0.837           1.087           0.731           0.838           0.944           0.775           1.010           0.660           0.817         178.286
        41           1.057           0.888           1.129           0.709           0.826           0.967           0.811           1.031           0.645           0.811         182.253
        42           1.026           0.860           1.100           0.724           0.838           1.045           0.889           1.104           0.593           0.777         186.305
        43           1.012           0.843           1.092           0.728           0.842           1.019           0.872           1.080           0.611           0.789         190.287
        44           1.008           0.836           1.090           0.729           0.840           1.085           0.925           1.142           0.565           0.764         194.257
        45           1.010           0.839           1.086           0.731           0.843           1.023           0.847           1.084           0.608           0.793         198.282
        46           1.016           0.838           1.095           0.727           0.842           0.929           0.830           0.996           0.669           0.820         202.256
        47           1.026           0.859           1.106           0.721           0.838           0.912           0.801           0.980           0.680           0.815         206.228
        48           1.021           0.858           1.096           0.726           0.838           1.031           0.886           1.091           0.603           0.811         210.203
        49           1.000           0.839           1.079           0.735           0.846           0.991           0.858           1.054           0.630           0.810         214.176
        50           0.998           0.840           1.072           0.738           0.845           0.880           0.754           0.950           0.699           0.827         218.154
        51           0.974           0.828           1.050           0.749           0.855           0.931           0.822           0.998           0.668           0.819         222.128
        52           0.998           0.835           1.080           0.734           0.849           0.950           0.805           1.016           0.656           0.801         226.175
        53           0.983           0.834           1.060           0.744           0.850           1.064           0.893           1.122           0.580           0.765         230.186
        54           0.990           0.824           1.068           0.740           0.854           0.969           0.866           1.033           0.644           0.804         234.169
        55           0.951           0.804           1.031           0.758           0.859           0.971           0.796           1.035           0.643           0.827         238.160
        56           0.956           0.813           1.033           0.757           0.859           1.063           0.908           1.121           0.581           0.792         242.151
        57           0.984           0.825           1.060           0.744           0.853           0.971           0.829           1.035           0.643           0.788         246.143
        58           0.989           0.826           1.065           0.741           0.850           0.915           0.769           0.982           0.678           0.836         250.192
