smiles,LogS
Cc1cccc2sc3nncn3c12,-2.07
CNCCCN1c2ccccc2CCc2ccccc21,-3.66
CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.19
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-4.43
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81
COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,-2.09
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,-3.32
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,-3.61
O=C1CNC(=O)CN1,-0.83
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,-3.68
O=C(/C=C\C=C/c1ccc2c(c1)OCO2)N1CCCCC1,-3.46
COc1ccc(CC2NCC(O)C2OC(C)=O)cc1,-1.61
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,-3.95
CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CC(O)C12C,-4.35
CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-5.15
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-3.37
CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,-3.82
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,-3.64
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,-4.29
c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.06
Nc1cc2c3ccccc3ccc2c2ccccc12,-6.2
CC1(C)C2CCC1(C)C(O)C2,-2.32
OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37
CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,-3.66
c1ccc(NNc2ccccc2)cc1,-2.92
Nc1ncnc2[nH]cnc12,-2.12
CN(C)CC/C=C1/c2ccccc2COc2ccccc21,-3.4
CC(C)CNC(=O)N1CCNC1=O,-2.15
O=C1CCCCC1,-0.6
CC1CCCCC1=O,-0.94
CC1CCC(C(C)C)C(=O)C1,-2.49
C=C(C)C1CCC(C)C(=O)C1,-2.18
CC1CCCC(=O)C1,-1.87
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-3.08
