smiles,LogS
CC(N)=O,1.58
CNN,1.34
CC(=O)O,1.22
ClCC(Cl)CCl,-1.92
NC(=O)NO,1.12
OCC(O)CO,1.12
CC(=O)N(C)C,1.11
CCCCI,-2.96
ClC=C(Cl)Cl,-1.96
OCC(O)C(O)C(O)C(O)CO,1.09
CC(N)CC(=O)O,1.08
C=CC(C)(O)CCC=C(C)C,-1.99
CCCCCCCCCO,-3.01
CCCCCC(=O)OC,-2.0
C#CCCCCC,-3.01
O=C(O)CCCC(=O)O,1.0
CC(C)CCl,-2.0
COC(N)=O,0.97
C=CC(=C)C,-2.03
O=C(O)CCl,0.93
CCOC(N)=O,0.85
CC(C)=CCC/C(C)=C/C=O,-2.06
BrCCCBr,-2.08
CCCCCBr,-3.07
CC(Br)CBr,-2.15
CCC=O,0.58
COC=O,0.58
C=CC=O,0.57
CCCCCCCl,-3.12
CCC(C)=O,0.52
CCCCN(CCCC)CCCC,-3.12
COCOC,0.48
FC(F)(Cl)C(F)(F)Cl,-3.12
BrC(Br)(Br)Br,-3.14
CCCCS,-2.18
CCCN(CCC)CCC,-2.28
CCCCCC(=O)OCC,-2.31
C/C=C\C=O,0.32
CCC(N)C(=O)O,0.31
CCCCC,-3.18
CC(C)C(=O)O,0.28
CC(=O)CC(C)=O,0.22
CCOC=O,0.15
C=CC#N,0.15
I/C=C\I,-3.22
CC(C)(C)OC(N)=O,0.1
CCC(C)(C)O,0.08
C=CCCCC,-3.23
CC(C)CO,0.04
CCS(=O)(=O)CC,0.04
CCCCCCCCO,-2.39
CCCCCCOC(C)=O,-2.46
CCC(C)(C)Cl,-2.51
CCCC=O,-0.01
ClC(Cl)=C(Cl)Cl,-2.54
CCC(Br)(CC)C(=O)NC(N)=O,-2.68
CC(O)C(N)C(=O)O,-0.09
CCOCC,-0.09
CCCCC(=O)CCCC,-2.59
CCCCCCCCC(C)=O,-3.31
CC(C)(S)C(N)C(=O)O,-0.13
CCN(CC)CC,-0.14
CCC(Cl)CC,-2.63
CCCC(C)=O,-0.19
CCCC(=O)O,-0.19
CN(C)NC(=O)CCC(=O)O,-0.2
O=C(O)CCC(=O)O,-0.2
CC(C)C(C)O,-0.2
C=CC(=O)OC,-0.22
CCC(O)CC,-0.24
CCCCCCCC(=O)OC,-3.39
CCCC(C)O,-0.29
CC(C)(C(=O)O)C(C)(CC(=O)O)C(=O)O,-0.29
N#CCCCl,-0.29
C=C(Cl)CSC(=S)N(CC)CC,-3.39
CC(C)COC(N)=O,-0.3
N#CN=C(N)N,-0.31
CCC(C)(O)CC,-0.38
C=CCCCCCCCCC(=O)O,-3.4
CCCOC,-0.39
CC(C)C(C)CO,-0.39
CCCCCCCCCC(=O)O,-3.44
CSCCC(N)C(=O)O,-0.42
FC(F)(Cl)C(F)(Cl)Cl,-3.04
CCC(C)(C)C,-3.55
CCCOC=O,-0.49
CC(C)(C)CCO,-0.5
CCCC(O)C(CC)CO,-0.54
NC(=O)CCC(N)C(=O)O,-0.55
CCCCCCCCC=O,-3.17
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6
CC(O)C(C)(C)C,-0.62
CCCCCCCCCCO,-3.63
ClCCl,-0.63
CCCCOC(N)=O,-0.66
CCCOCC,-0.66
