smiles,LogS
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,-8.32
Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl,-8.42
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,-8.65
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,-5.06
Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-10.26
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,-10.41
Clc1cccc(Cl)c1-c1ccccc1,-5.21
Clc1ccc(-c2ccccc2)c(Cl)c1,-5.25
Clc1ccccc1-c1ccccc1Cl,-5.27
Clc1ccc(-c2ccccc2Cl)cc1,-5.28
O=C(O)c1ccccc1-c1ccccc1C(=O)O,-2.28
Oc1ccccc1-c1ccccc1,-2.39
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-6.14
Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,-6.25
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.26
Clc1cc(Cl)c(-c2ccccc2)cc1Cl,-6.27
Clc1ccc(-c2ccccc2Cl)cc1Cl,-6.29
Clc1ccc(-c2ccccc2)cc1Cl,-6.39
Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1,-6.47
c1ccc(-c2ccccc2)cc1,-4.31
Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56
Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,-6.57
Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,-6.8
Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1Cl,-7.21
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25
Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,-7.28
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-7.39
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-7.39
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-4.49
Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,-7.42
Clc1ccccc1-c1c(Cl)cc(Cl)c(Cl)c1Cl,-7.43
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl,-7.66
Clc1ccccc1-c1ccccc1,-4.54
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,-7.68
Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,-7.8
Oc1ccc(-c2ccccc2)cc1,-3.48
