32
process will start at : 
Mon Apr  3 23:55:10 CST 2023
++++++++++++++++++++++++++++++++++++++++
Load GaoDataSet from dataset/HouTrain.csv ... done (1032 lines, 16.427 seconds) 
Load GaoDataSet from dataset/HouValid.csv ... done (129 lines, 1.738 seconds) 
# of training graphs/labels:      1031
# of Validing graphs/labels:      128
>>> Training of the Model >>>
Start at:  Mon Apr  3 23:58:59 2023
PID:       142466
Learning rate:               1E-03
Batch size:                  32
Maximum epochs:              500
Output frequency:            1
Device:                      cpu
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC       ValidLoss        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0           7.260           4.531           6.113         -11.136           0.174           5.714           4.278           5.400          -3.142           0.200          15.638
         1           4.458           3.041           3.935          -4.029           0.210           3.786           2.927           3.693          -0.937           0.340          20.126
         2           3.143           2.310           2.981          -1.886           0.319           3.400           2.654           3.342          -0.586           0.388          24.629
         3           2.513           1.909           2.461          -0.967           0.347           2.730           2.131           2.724          -0.054           0.525          29.046
         4           2.060           1.571           1.999          -0.297           0.435           2.547           2.090           2.554           0.074           0.533          33.482
         5           1.712           1.357           1.734           0.024           0.535           2.401           1.933           2.418           0.169           0.599          37.905
         6           1.555           1.245           1.580           0.190           0.553           2.023           1.671           2.062           0.396           0.657          42.325
         7           1.463           1.199           1.514           0.256           0.584           2.208           1.770           2.237           0.289           0.657          46.736
         8           1.402           1.152           1.451           0.316           0.603           2.086           1.671           2.122           0.361           0.701          51.159
         9           1.295           1.075           1.354           0.405           0.643           1.865           1.543           1.913           0.480           0.690          55.580
        10           1.220           0.999           1.284           0.464           0.693           1.781           1.469           1.834           0.522           0.801          60.005
        11           1.239           1.001           1.282           0.466           0.683           1.771           1.437           1.824           0.527           0.778          64.466
        12           1.153           0.967           1.224           0.513           0.709           1.661           1.323           1.719           0.580           0.780          68.882
        13           1.150           0.954           1.210           0.525           0.718           1.547           1.289           1.610           0.632           0.829          73.308
        14           1.134           0.943           1.196           0.536           0.721           1.396           1.149           1.466           0.695           0.881          77.805
        15           1.102           0.926           1.174           0.552           0.747           1.420           1.174           1.489           0.685           0.865          82.230
        16           1.095           0.907           1.164           0.560           0.739           1.462           1.192           1.529           0.668           0.851          86.654
        17           1.111           0.927           1.168           0.557           0.733           1.539           1.327           1.603           0.635           0.853          91.161
        18           1.103           0.926           1.171           0.555           0.737           1.328           1.094           1.400           0.722           0.862          95.598
        19           1.060           0.883           1.120           0.593           0.756           1.253           1.088           1.328           0.750           0.885         100.033
