smiles,LogS
CCCCCCCCCCCCO,-4.6700001
COCc1c(OC)cc(cc1OC)Cc1cnc(nc1N)N,-2.436098453
CN([C@@H]1C(=O)C(=C([C@@]2([C@H]1[C@@H](O)[C@H]1C(=C(O)c3c([C@@]1(C)O)cccc3O)C2=O)O)O)C(=O)N)C.Cl,-0.767358684
NC(=O)N(c1ccccc1C)C,-0.403149588
Clc1ccc2c(c1)CON(C2)C(=O)N,-2.163277811
OC(Cn1cnc2c1c(=O)n(C)c(=O)n2C)CN1CCN(CC1)C(=O)c1ccccc1,-1.725721236
OCC(COC(C=C)Br)O,-0.713735462
C1CC[C@H]2N(C1)C[C@@H]1C[C@H]2CN2[C@@H]1CCCC2,-1.89
SC/C(=N\C12CC3CC(C2)CC(C1)C3)/N.Cl.O,-1.750748302
COC1=C(F)C(C(C1(F)F)(F)F)(F)F,-2.448940898
C/C=C\c1ccc2c(c1)OCO2,-3.262095099
CC(NCC1COC2(O1)c1ccccc1C=Cc1c2cccc1)C.OC(=O)/C=C\C(=O)O,-5.870854821
Clc1c(O)cc(c(c1Cl)Cl)Cl,-3.1500001
[S-]C(=S)N1CCOCC1.[Na+],0.73227695
O=C1NC(=O)C(C(=O)N1C)(C)C1=CCCCC1.[Na+],-1.028130901
CC[N+](c1cccc(c1)O)(C)C.[OH-],0.736953623
c1ccc(cc1)/C=C/CN1CCN(CC1)C(c1ccccc1)c1ccccc1,-2.691404501
COC(=O)[C@]1(CCC(c2c1cccc2)[NH+](C)C)c1ccccc1.[Cl-],-4.107545363
CC(=O)O[C@H]1[C@H](O[C@H]2[C@@H]1OC(O2)(C)C)[C@H]1COC(O1)(C)C,-1.522863901
O=C1NC(=O)C2(C(=O)N1)CCC[Si](C2)(C)C,-2.565237466
NCC(c1cccc(c1)O)O.Cl,0.722072321
O=C(c1cccc(c1)C(F)(F)F)Cc1ccccc1C(=O)O,-4.764635683
CCc1ccccn1,0.50999999
CC(=O)Nc1cc(ccc1O)[As](=O)(O)O,-0.061261827
OC(c1ccc(c(c1)C)O)C([NH3+])C.[Cl-],0.662155556
ClCCN1CCCC1.Cl,-0.68533847
Oc1ccc(cc1)C1(Oc2ccccc2NC1=O)c1ccc(cc1)O,-3.961789943
CCCCCCCCc1ccccc1O,-4.821799863
Nc1ccc2c(c1)nc(o2)N,-0.718787133
COc1ccc2c(c1)c(cc[nH+]2)C(Cc1[nH+]ccc2c1cccc2)O.[Cl-].[Cl-],-5.352778432
Cc1cc(c(c(c1CC1=NCCN1)C)O)C(C)(C)C.Cl,-0.60211704
O=C(Nc1cccc(c1)C(=O)Nc1cc(ccc1C)C(=O)Nc1ccc(c2c1c(cc(c2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)Nc1cccc(c1)C(=O)Nc1cc(ccc1C)C(=O)Nc1ccc(c2c1c(cc(c2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,-13.25629814
c1ccc(cc1)CN(Cc1ccccc1)/C=C/C=C/C=[N+](Cc1ccccc1)Cc1ccccc1.[Cl-],-3.791468754
O[C@H]([C@H](C(=O)O)O)C(=O)O.COc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)CCc1ccccc1,-6.054766719
CN([C@@H]1C(=C(C(=O)N)C(=O)[C@]2([C@H]1C[C@H]1C(=C2O)C(=O)c2c([C@@H]1O)c(Cl)ccc2O)O)O)C,-2.52
CC(=O)OCC(=O)[C@@]12N=C(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@H]2[C@H]1CCC1=CC(=O)C=C[C@]21C)C,-4.074411366
COc1cc(Cc2cnc(nc2N)N)cc(c1C(O)(C)C)OC,-2.794265907
CCNC(CC)(C)C.Cl,-1.007736296
CCCCOC=O,-1.37
C=CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)OC)CCCC2.Br,-4.57789833
C=CCNc1cnnc(c1)N1CCN(CC1)CCC(c1ccccc1)(c1ccccc1)c1ccccc1.Cl.Cl,-7.384698627
CCCN(C(=O)N)CCC,-1.181295863
CCCCI,-2.96
CCCNC(=O)Nc1ncco1,-1.283876642
OC(C(O)C)COc1ccccc1,-1.279681697
O=C(C(C(=O)Oc1ccc2c(c1)CCC2)c1ccccc1)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)[O-])(C)C.[Na+],-4.411209613
OS(=O)(=O)Cc1ccccc1,0.118080336
CCOC(=O)C(c1ccc2c(c1)nc(o2)c1ccc(cc1)Cl)C,-5.980405219
CCCCOc1nc(OCCCC)cc(c1)C(=O)NN,-3.988358323
S=C1SCN(CN1Cc1ccccc1)Cc1ccccc1,-5.176388288
Cc1[n+](CCC[N+]2(C)CCCC2)ccc2c1N=C1C2C=CC=C1.[Br-].[Br-],-2.347135718
CN(CCCN1c2ccc(cc2Sc2c1cc(Cl)c(c2)O)O)C,-5.894827561
CC[N+](CCOC(=O)Cc1ccc(cc1)c1ccccc1)(CC)C.[I-],-2.58090008
CC[N+](CCS(=O)CC[N+](CC)(CC)CC)(C)C.[Br-].[Br-],0.358221583
CC(=O)NCCS,0.151676036
Cc1c2ccc3c(c2c(c2c1cccc2)C)cccc3,-7.02
CCN1CC(C(C1=O)(c1ccccc1)c1ccccc1)CCN1CCOCC1.Cl.O,-4.936639147
CCCCC(COC(=O)N)(CO)C,-1.735468118
COc1ccc(c(c1)CC(N)C)OC.Cl,-1.160843537
CC(=C)CNc1ccc(cc1)C(C(=O)O)C,-2.854576466
Oc1c(CN2CCCCC2)cc(cc1CN1CCCCC1)C(c1ccccc1)(C)C.Br.Br,-6.146157062
CCn1cc(C(=O)O)c(=O)c2c1cc(N1CCNCC1)c(c2)F,-0.254071933
[O-]P(=O)(SCC(=N)N)O.[Na+],0.716461331
Cc1c(C)c(C)c(c(c1C)C)C,-5.23
Cc1cccc(c1C(c1c(C)cccc1C)OCCOCC[NH+](C)C)C.[Cl-],-5.114697424
OCC(CO)(CO)N,0.657089461
Cc1ccc(cc1)S(=O)(=O)N1CC=Cc2c1cccc2,-5.071579237
OS(=O)(=O)NC1CCCCC1.CC(C(c1ccccc1)(C#N)CC(N(C)C)C)C,-3.431072703
CC[N+](CCSCC[N+](CC)(CC)CC)(C)C.[Br-].[Br-],0.374370681
Cc1ccc2c(n1)c(O)c(cc2Cl)Cl,-3.244462839
C/C=C/CSC(C(=O)NC)(C)C,-2.420670472
O=C1O[C@@H]2O[C@@]3(C)CC[C@@H]4[C@]2([C@H]([C@H]1C)CC[C@H]4C)OO3,-3.736017497
CCN(CCNc1ccc(c2c1c(=O)c1c(s2)cccc1)C)CC.Cl,-6.401925074
CC(c1cccc(c1O)C(C)C)C,-3.158369776
COC(C[Hg]Cl)CNC(=O)N,-1.523506427
C[N+]1(CCCCCCC[N+]2(C)CCOCC2)CCOCC1.[I-].[I-],-4.08382556
COc1cc(NC(CCCN(C)C)C)c2c(c1)cc1c(n2)ccc(c1)Cl,-7.099144977
OC[C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.OC[C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2],-1.111399785
