smiles,logS
CCOC(N)=O,0.85
NC(=O)c1ccccc1,-0.96
NCC(=O)O,0.52
NC(CO)C(=O)O,-0.02
NC(=O)CCC(N)C(=O)O,-0.55
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,-7.02
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.59
CC(C)CC(N)C(=O)O,-0.8
CSCCC(N)C(=O)O,-0.42
NC(Cc1ccccc1)C(=O)O,-0.92
CC(C)C(N)C(=O)O,-0.3
ClC1=C(Cl)C2(Cl)CCC3OC3CCC1(Cl)C2(Cl)Cl,-6.29
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.28
CCC(C)C(N)C(=O)O,-0.59
O=C(O)c1ccc(Cl)cc1,-3.31
N=C(N)NCCCC(N)C(=O)O,0
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,-1.52
O=C(O)CC(O)(CC(=O)O)C(=O)O,0.51
C=CC(N)=O,0.95
C=C(C)C(=O)O,0
C=C(C)C(=O)OC,-0.8
O=C1NS(=O)(=O)c2ccccc21,-1.64
Nc1ccc2ccccc2c1S(=O)(=O)O,-1.7
O=C1c2ccccc2C(=O)c2ccccc21,-5.19
CCCCOC(=O)c1ccccc1CC(=O)OCc1ccccc1,-5.64
c1ccc2c(c1)[nH]c1ccccc12,-5.27
Nc1ccccc1[N+](=O)[O-],-1.96
O=C(O)c1ccccc1C(=O)O,-2.11
COc1ccccc1O,-1.96
Oc1cccc2ccccc12,-2.22
N[C+]1C=CC=C[C+]1N,-2.38
CCN(CC)c1ccccc1,-3.03
c1ccc(-c2ccccc2)cc1,-4.3
Oc1ccc(-c2ccccc2)cc1,-3.48
Oc1cccc2c1Sc1ccccc1N2,-5.1
Nc1ccc(-c2ccc(N)cc2)cc1,-2.7
Nc1ccccc1N,-0.42
OC(CCl)CCl,-0.11
C=CC(=O)OC,-0.22
S=C1NCCN1,-0.71
O=Cc1ccco1,-0.1
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-2.89
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6
c1ccc(/N=N/c2ccccc2)cc1,-2.75
CC(=O)Nc1ccccc1,-1.33
CCNC(=S)NCC,-1.46
C=C(C)C(=O)OCCC,-1.21
NCCS(=O)(=O)O,-0.09
CC(=O)CC(C)C,-0.74
C/C=C/CC,-2.54
O=C(O)CCC(=O)O,-0.2
C/C=C/C=C/C(=O)O,-1.77
CC(O)CNCC(C)O,0.81
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-6.15
Nc1ccccc1C(=O)O,-1.52
Nc1cccc2cc(S(=O)(=O)O)ccc12,-2.35
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.82
c1ccc(NNc2ccccc2)cc1,-2.92
O=Cc1ccc(O)cc1,-0.96
COc1ccc(C=O)cc1,-1.49
CCCC(=O)CCC,-1.3
C/C=C/C=O,0.32
CC(=O)OC(C)(C)CCO,-1.92
Nc1cccc2ccccc12,-1.92
Oc1ccc2ccccc2c1,-2.28
COc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85
O=C(O)/C=C/c1ccccc1,-2.48
C=CC(=O)OCC,-0.74
O=c1cc[nH]c(=S)n1O,-2.26
CCCCCCOC(C)=O,-2.46
Sc1nc2ccccc2s1,-3.15
Nc1ccc(S(=O)(=O)O)cc1,-0.4
C1=Cc2cccc3cccc1c23,-3.96
c1ccc2c(c1)Oc1ccccc1O2,-5.31
OC(O)C(Cl)(Cl)Cl,0.72
CC(N)C(=O)O,0.26
CCCCCCCCCC(=O)O,-3.44
CC(O)C(F)(F)F,0.3
N#CNC(=N)N,-0.31
CCCCC(=O)CCCC,-2.59
O=[N+]([O-])c1ccccc1[N+](=O)[O-],-3.1
CC(Cl)C(C)(C)Cl,-2.69
I/C=C\I,-3.22
CCCC(C)(O)CC,-1
CCOCCOCC,-0.77
CC(C)CCCO,-1.14
CC(O)c1ccccc1,-0.92
C=CC(=O)CCC,-0.83
c1cc2c3c(ccc4c3c1CCC4)CCC2,-5.96
COc1c(Cl)ccc(Cl)c1C(=O)O,-1.7
CCCCCCCCCCCCNC(=N)NCC(=O)OCC,-2.63
Clc1ccc(-c2ccccc2)cc1Cl,-7.44
COC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.66
CC(C)(C)OC(N)=O,0.1
CCCCC(C)(O)CC,-1.6
Clc1ccc(-c2cc(Cl)ccc2Cl)cc1,-6.25
CC(C)C(C)CO,-0.39
Cc1ccc(Oc2ccc(C)cc2)cc1,-4.85
CCCCC(C)C(C)O,-1.72
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-7.39
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25
Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,-7.82
