,atom_num,mean_weight
0,0,-0.1516508162021637
1,1,-0.19392907619476318
2,2,-0.21645081043243408
3,3,-0.18255943059921265
4,4,-0.1780512034893036
5,5,-0.20825348794460297
6,6,-0.1780511885881424
7,7,-0.18255943059921265
8,8,-0.2276841402053833
9,9,-0.17125196754932404
10,10,-0.18501614034175873
11,11,-0.20967264473438263
12,12,-0.2843282222747803
13,13,-0.2152760922908783
14,14,-0.11926254630088806
15,15,-0.08957741409540176
16,16,-0.07805599272251129
17,17,-0.06877443939447403
18,18,-0.07381871342658997
19,19,-0.08889256417751312
20,20,-0.16151949763298035
21,21,-0.1842373162508011
22,22,-0.26543325185775757
23,23,-0.1915106326341629
24,24,-0.23453634977340698
25,25,-0.26543328166007996
26,26,-0.1915106624364853
27,27,-0.1842372864484787
28,28,-0.07251302152872086
