,atom_num,mean_weight
0,0,-0.09754499793052673
1,1,-0.18520000576972961
2,2,-0.09754499793052673
3,3,-0.24425241351127625
4,4,-0.24748508632183075
5,5,-0.27318498492240906
6,6,-0.2788412868976593
7,7,-0.2543661594390869
8,8,-0.17767234146595
9,9,-0.19007407128810883
10,10,-0.27659091353416443
11,11,-0.3294118642807007
12,12,-0.44503313302993774
13,13,-0.3453664779663086
14,14,-0.34029000997543335
15,15,-0.26702043414115906
16,16,-0.25313037633895874
17,17,-0.1781977266073227
18,18,-0.12713176012039185
19,19,-0.12546047568321228
20,20,-0.10585927963256836
21,21,-0.090464286506176
22,22,-0.09825696796178818
23,23,-0.09377855062484741
24,24,-0.14944979548454285
25,25,-0.18875470757484436
26,26,-0.2094281017780304
27,27,-0.3025425970554352
28,28,-0.2787156105041504
29,29,-0.2928154468536377
30,30,-0.2955178916454315
31,31,-0.2928154170513153
32,32,-0.27871567010879517
