,atom_num,mean_weight
0,0,-0.2603965997695923
1,1,-0.3189029395580292
2,2,-0.2722495198249817
3,3,-0.2175881415605545
4,4,-0.19326268136501312
5,5,-0.14549697935581207
6,6,-0.15560439229011536
7,7,-0.09872536361217499
8,8,-0.1449199914932251
9,9,-0.15046361088752747
10,10,-0.16644185781478882
11,11,-0.131694957613945
12,12,-0.0856405571103096
13,13,-0.0891246497631073
14,14,-0.07252640277147293
15,15,-0.07390489429235458
16,16,-0.11003138870000839
17,17,-0.11358603835105896
18,18,-0.09744960069656372
19,19,-0.11358604580163956
20,20,-0.09744960814714432
