smiles,LogS
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,-4.88
Cc1ccc(C(C)C)c(O)c1,-2.22
CCCCOCCCC,-1.85
CN(C)CCCN1c2ccccc2Sc2ccccc21,-4.3
CCCCCCBr,-3.81
ClC(Cl)(Cl)Cl,-2.31
CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,-4.16
CCC1(CC)C(=O)NC(=O)NC1=O,-1.39
CCOC(C)OCC,-0.43
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42
CC(=O)Nc1ccccc1,-1.33
CNC(=O)O/N=C(/CSC)C(C)(C)C,-1.62
NC(=O)c1ccccc1O,-1.76
CCCCC(=O)OCC,-1.75
O=C(c1ccccc1)c1ccccc1,-3.12
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,-2.78
CCCCNCCCC,-1.44
CCCCCCC,-4.53
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,-8.71
Nc1ccccc1Cl,-1.52
Nc1ccc(N)cc1,-0.38
O=C(O)CCCC(=O)O,1.0
Cc1ccc2cc3ccccc3cc2c1,-6.96
CSc1ccccc1,-2.39
COC(=O)c1ccc(O)cc1,-1.78
CCC1(c2ccccc2)CCC(=O)NC1=O,-2.34
ClC(Cl)Cl,-1.17
c1ccc2nc3ccccc3cc2c1,-3.67
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.74
c1ccc(-c2ccccc2)cc1,-4.31
CCSCc1ccccc1OC(=O)NC,-2.09
CCCC(C)(C)CO,-1.52
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-3.57
Cc1cc(C)c2ccccc2c1,-4.29
Cc1cnc(S)nc1O,-2.45
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-3.09
CCCCCCCCCCCCCCC(=O)O,-4.31
CCCCCC(C)(C)O,-1.72
CC(C)(C)CO,-0.4
CCCCCCCC,-5.24
COC(=O)c1ccc(N)cc1,-1.59
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-6.14
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,-3.73
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,-4.52
O=C(O)c1ccccc1-c1ccccc1C(=O)O,-2.28
C1=CCCCC1,-2.59
CCOCC,-0.09
CCC(C)(C)c1ccccc1,-4.15
Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,-2.75
CC(C)(C)c1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-3.74
O=[N+]([O-])c1ccc(O)cc1,-0.74
CCCCCCCCCCCCCC(=O)O,-5.33
Cc1ccc(/N=C\N(C)/C=N\c2ccc(C)cc2C)c(C)c1,-5.47
CN(C)C,0.84
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7
Cc1ccc(C(C)C)cc1O,-2.08
O=C1c2ccccc2C(=O)c2ccccc21,-5.19
Fc1ccc(I)cc1,-3.13
CCCC(C)(C)O,-0.49
CCCC(C)(COC(N)=O)COC(N)=O,-1.67
O=C1CNC(=O)N1,-0.4
CCCCCCCCCCC(=O)O,-3.55
Cc1cncc(C)c1,0.38
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,-2.27
Cc1cccc(Oc2cccc(C)c2)c1,-4.85
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,-2.85
Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,-6.21
CC(C)CCCO,-1.14
COCOC,0.48
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17
CC(=O)O,1.22
COc1ccc(C=O)cc1,-1.49
