structure,measured,original
CCC(C)C1NC(=O)C2CCCN2C(=O)C(CC(C)C)OC(=O)CCNC(=O)C(C)N(C)C(=O)C(C(C)C)N(C)C1=O,-5.345,2.68387
CC(=O)\C1=C2/C=C\CCN2C(=O)NC1C3=CC=C(Cl)C=C3,-3.909,37.3625
FC1=CC(CN2C(=NC3=C2C=CC=C3)N4CCC(CC4)NC5=NC=C(C=N5)C(=O)NC6=CC(F)=CC=C6)=CC=C1,-5.672,1.14905
O=C(NCC1=NC=CC2=C1C=CC=C2)C3CCN(CC3)C(=O)C4=CC5=CC=CC=C5O4,-4.556,11.48785
CC/1=C(OCCO1)\C(=O)N2CCC3=CC(=CC=C23)C4=C(C)SC(=N4)NC(=O)CC5=CC6=C(OCO6)C=C5,-7.229,0.03067
CC1CCCN(C1)C2=C(N[S+]([O-])(=O)C3=CC=C(C=C3)[S+]([O-])(=O)N(C)C)C=C(Cl)C=C2,-5.649,1.05902
C/C1=N/N(CCCC(=O)N2CCC3=CC=CC=C3C2)C(=O)C4=N[N](C(=C14)C)C5=CC=C(C=C5)C(F)(F)F,-5.287,2.63086
C[C@H]1CNC[C@@H](C)C1(O)C2=C(F)C=C(C=C2F)C3=C4C(F)=CNC4=NC=C3,-4.582,9.82882
CC1=C(Cl)C=CC(=C1)C(=O)NC2CCCN(C2)C3=CC=NC4=CC=NN34,-4.782,6.11136
[H]C(=O)C1=CC=C(NCCOCCNC(=O)C2=CC=C(C(=C2)C([O-])=O)C3=C4C=CC(=CC4=[O+]C5=C3C=CC(=C5)N(C)C)N(C)C)C=C1,-4.203,38.88697
[O-][S+](=O)(NC1=CC=CC(=C1)C(F)F)C2=CC=C(N[S+]([O-])(=O)C3=CC4=C(C=C3)N=CS4)C=C2,-4.014,47.95521
COC1=C(CN2CCCC(C2)C3=NN(C(=O)N3)C4=CC=C(Cl)C=C4)C=CC=C1,-5.471,1.34963259
CC1=CC=CC2=NC(=C(NC3=CC=C(F)C=C3)[N]12)C4=NC=CC=C4,-3.969,34.22115
CC1=C(SC=N1)C2=CC=C(CNC(=O)C3C[C@@H](O)CN3C(=O)C(NC(=O)COCCOCCOCCNC(=O)COC4=CC=C(NC(=O)NC5=CC(=CC=C5)C6=CC=CC(=N6)N7CCCC7)C=C4)C(C)(C)C)C=C2,-5.61,2.54045
O=C1NC(=NN1C2=C3C=CN=CC3=CC=C2)[C@H]4CCCN(CCC5CCCCC5)C4,-4.151,28.65531
[O-][S+](=O)(NC(C(=O)NCC1=NC2=C(N1)C=CC=C2)C3=CC=CC=C3)C4=CC=CS4,-4.097,34.11459
C[N]1N=C(C)C(=C1C)C2=C3[N](CC(=O)N4CCC(C)(CC4)C(O)=O)C(=C(CCCOC5=CC(=C(Cl)C(=C5)C)C)C3=CC=C2Cl)C(F)(F)F,-4.916,8.59336
[H][C@]12CS[C@@H](CCCCC(=O)NCCOCCOCCOCCNC(=O)C3=CC=CC(=C3)C4=CC(NC5=CC=C(OC(F)(F)F)C=C5)=NC=N4)[C@@]1([H])NC(=O)N2,-5.827,1.156404968
CC(C)(C)OC(=O)NC1CCN(CC1)C2=NC(=CS2)C3=CC=C(Br)C=C3,-4.83,6.47873
C[N]1C=NC=C1CNC(=O)C2=NC(=C3C=C(C=CC3=N2)C4=C(C)ON=C4C)NCC5=CN=CC(=C5)Cl,-4.0,50.25759
CC[C@H](C)[C@@H](NC(=O)C1O[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C)C(=O)N2CCCC2C(=O)OC,-4.389,22
CN[S+]([O-])(=O)C1=CC=C(C=C1)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCCN5CCCC5=O)C=N2,-4.109,41.46433
FC(F)(F)OC1=CC=C2CN3CCN(C[C@@H]3C(=O)NC2=C1)C4=CC(=NC=C4)N5CCNCC5,-4.056,40.62605
CC1=C(C(=NO1)C)C(=O)N2CCC3(CC2)CN(CCO3)C(C4=CC=CC=C4)C5=CC=CC=C5,-4.951,4.98743
CC(C)OC1=CC=CC(=C1)C2=CSC(=N2)N3CCC(CC3)C(N)=O,-3.918,41.73983
COC1=CC=C(C=C1NC(=O)C2=CC(=CC=C2)C3=CN=CC=C3)[S+]([O-])(=O)N4CCOCC4,-4.331,21.14344
CCC1=CC=C(NC(=O)C2=N[N]3C=CC=NC3=C2)C=C1,-4.596,6.7473
CN1CCN(CC1)[C@H](C2=CC=CC=C2)C3=CC=C(Cl)C=C3,-4.018,28.85272
CCN(CC)[S+]([O-])(=O)C1=CC(=CC=C1OC)NC(=O)C2=C(C)C(=C(C)[NH]2)C(C)=O,-4.366,18.12748
C[S+]([O-])(=O)N1CCN(CC1)C(=O)C2=CN=C3C=CSC3=C2C4=CC=C(C=C4)C5(CC5)C#N,-3.927,55.20913
C[C@@](O)(C1=CN2C(C=N1)=NC=C2C3=CC=CC(N[C@H]4CNCC[C@@H]4F)=N3)C(F)(F)F,-3.989,43.49028
ClC1=CC=C(C=C1)C(N2CCN(CCOCCOCCOCCOCCNC(=O)CCCC[C@@H]3SC[C@@H]4NC(=O)N[C@H]34)CC2)C5=CC=C(Cl)C=C5,-4.218,46.45532
