32
process will start at : 
Fri Oct 21 16:38:02 CST 2022
++++++++++++++++++++++++++++++++++++++++
Load GaoDataSet from dataset/SolubTotal.csv ... done (10223 lines, 14.758 seconds) 
# of all graphs/labels:      10222
# of testing graphs/labels:      2044
>>> Training of the Model >>>
Start at:  Fri Oct 21 16:39:14 2022
PID:       403607
# of training graphs/labels: 8178
Learning rate:               1E-03
Batch size:                  64
Maximum epochs:              1000
Output frequency:            1
Params filename prefix:      models/solub
Device:                      cpu
------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch    TrainingLoss        TrainMAE       TrainRMSE         Time(s) SavePrefix
------------------------------------------------------------------------------------------------------------------------------------------------------
         0      15.2959713      15.7950480      16.8124962      36.1429665 models/solub-0
------------------------------------------------------------------------------------------------------------------------------------------------------
Final loss: 0.3343, Final mae: 0.6822, Final mse: 0.8264, Final rmse: 0.9019
Total training time: 34504.1132 seconds
>>> Training of the Model Accomplished! >>>
End at:  Sat Oct 22 02:14:19 2022
    0     -4.34200000     -3.74300000
    1     -4.01500000     -4.27000000
    2     -4.17300000     -3.97500000
    3     -4.05600000     -2.90900000
    4     -4.05400000     -5.80300000
    5     -5.49300000     -5.10900000
    6     -4.38000000     -3.70200000
    7     -4.15100000     -4.35200000
    8     -5.49700000     -5.79100000
    9     -4.34900000     -3.23300000
   10     -4.67500000     -3.71500000
   11     -5.39500000     -5.60300000
   12     -4.11700000     -4.02800000
   13     -4.02200000     -4.13600000
   14     -4.28800000     -4.72100000
   15     -4.73700000     -3.76800000
   16     -4.15500000     -4.26700000
   17     -4.15200000     -4.76500000
   18     -5.42600000     -5.16000000
   19     -4.58900000     -5.47200000
   20     -5.97300000     -4.68700000
   21     -5.86500000     -3.50800000
   22     -5.63100000     -5.96200000
   23     -5.49300000     -2.22000000
   24     -3.96900000     -5.14000000
   25     -3.93400000     -4.98900000
   26     -3.92800000     -3.32100000
   27     -3.94300000     -3.95000000
   28     -5.23000000     -4.67100000
   29     -4.27700000     -4.20800000
   30     -4.61300000     -4.52300000
   31     -4.46700000     -4.31100000
   32     -5.49100000     -4.52500000
   33     -5.15900000     -4.86500000
   34     -5.48300000     -4.94800000
   35     -3.94100000     -5.44400000
   36     -5.71000000     -4.68200000
   37     -3.93100000     -3.63600000
   38     -4.51400000     -5.12500000
   39     -5.34200000     -5.04800000
   40     -4.67100000     -4.91200000
   41     -5.13500000     -6.35200000
   42     -5.44500000     -5.13500000
   43     -4.14500000     -4.12700000
   44     -5.12700000     -4.05900000
   45     -5.45600000     -4.00900000
   46     -4.42800000     -5.61200000
   47     -5.25300000     -4.58700000
   48     -4.12700000     -5.19900000
   49     -3.94400000     -4.23600000
   50     -5.51200000     -4.49900000
   51     -4.10100000     -4.36300000
   52     -4.15400000     -4.04300000
   53     -4.31200000     -3.60900000
   54     -4.00700000     -3.72300000
   55     -3.37700000     -2.82900000
   56     -5.00700000     -5.13900000
   57     -7.09200000     -4.77100000
   58     -4.05500000     -4.53600000
   59     -4.80200000     -4.69400000
   60     -5.01900000     -4.89400000
   61     -4.53200000     -4.29000000
   62     -4.81700000     -4.58400000
   63     -5.00800000     -5.67600000
   64     -5.12500000     -3.59400000
   65     -3.93700000     -3.51000000
   66     -4.99600000     -4.74800000
   67     -5.10200000     -2.75900000
   68     -5.25600000     -4.29100000
   69     -3.94900000     -3.26200000
   70     -4.14400000     -5.20500000
   71     -4.60900000     -4.73500000
   72     -4.47900000     -4.48000000
   73     -5.16200000     -4.21700000
   74     -5.39700000     -4.57700000
   75     -4.29400000     -4.47900000
   76     -4.24500000     -4.75200000
   77     -5.36800000     -4.31900000
   78     -5.09900000     -5.08700000
   79     -4.07100000     -5.37600000
   80     -5.42000000     -4.45000000
   81     -6.22800000     -4.76900000
   82     -4.02900000     -3.73200000
   83     -5.23000000     -5.14200000
   84     -4.01000000     -4.38300000
   85     -5.07200000     -4.61600000
   86     -4.08300000     -5.04500000
   87     -4.36100000     -4.59600000
   88     -3.91300000     -3.43100000
   89     -4.86000000     -4.09300000
   90     -5.50800000     -4.72200000
   91     -5.57700000     -4.49200000
   92     -5.14300000     -4.56200000
   93     -4.21900000     -4.78800000
   94     -4.09800000     -4.35700000
   95     -4.01200000     -2.92600000
   96     -3.98800000     -4.13000000
   97     -5.38600000     -4.97300000
   98     -5.39700000     -4.37300000
   99     -5.60100000     -4.53600000
  100     -4.34200000     -5.10200000
  101     -3.99800000     -4.37700000
  102     -4.33200000     -4.10600000
  103     -5.06900000     -6.02500000
  104     -5.09900000     -5.35300000
  105     -3.92700000     -5.60900000
  106     -4.59000000     -2.36300000
  107     -5.52600000     -5.61600000
  108     -5.48200000     -5.68700000
  109     -4.14900000     -4.05600000
  110     -5.45300000     -3.78300000
  111     -3.92000000     -5.62000000
  112     -3.95400000     -5.55100000
  113     -4.16100000     -4.45100000
  114     -5.43700000     -3.95600000
  115     -5.63800000     -6.25400000
  116     -4.46000000     -4.66300000
  117     -4.07400000     -3.52900000
  118     -5.45300000     -3.94300000
  119     -5.62400000     -4.74900000
  120     -5.53100000     -4.60700000
  121     -4.73900000     -4.18500000
  122     -4.42400000     -4.75500000
  123     -5.61600000     -3.46700000
  124     -5.95400000     -5.97700000
  125     -5.22300000     -4.84700000
  126     -4.00500000     -3.23700000
  127     -4.17300000     -4.08700000
  128     -5.30400000     -5.04700000
  129     -3.96000000     -3.46600000
  130     -4.34500000     -4.61900000
  131     -4.11400000     -4.95700000
  132     -4.74100000     -4.23300000
  133     -4.10400000     -5.64200000
  134     -4.62200000     -4.57900000
  135     -5.82500000     -5.32300000
  136     -5.36200000     -5.53900000
  137     -4.81100000     -2.82400000
  138     -5.18000000     -5.54700000
  139     -4.10700000     -5.10700000
  140     -4.89500000     -3.74700000
  141     -5.40200000     -3.90100000
  142     -4.10900000     -5.73600000
  143     -4.20800000     -4.58000000
  144     -5.29400000     -4.22100000
  145     -4.83900000     -4.58500000
  146     -5.27700000     -5.55900000
  147     -5.46200000     -4.19300000
  148     -4.15700000     -4.60400000
  149     -3.90400000     -4.53000000
  150     -4.11800000     -4.88200000
  151     -4.08500000     -5.10900000
  152     -4.07700000     -4.43100000
  153     -4.41000000     -4.86600000
  154     -4.44500000     -3.57000000
  155     -4.26700000     -4.73900000
  156     -4.56900000     -1.79100000
  157     -4.00000000     -4.58900000
  158     -4.16300000     -4.72500000
  159     -4.53100000     -4.78300000
  160     -4.15100000     -6.39300000
  161     -5.38000000     -4.60600000
  162     -5.50800000     -4.31200000
  163     -5.10400000     -3.45800000
  164     -5.14300000     -4.74800000
  165     -4.75200000     -4.39000000
  166     -5.59000000     -4.64900000
  167     -4.12000000     -5.01600000
  168     -4.68500000     -4.64700000
  169     -4.07300000     -4.56200000
  170     -3.91700000     -4.76200000
  171     -4.09800000     -5.02100000
  172     -5.52400000     -5.05700000
  173     -4.12000000     -3.73700000
  174     -4.08000000     -5.01500000
  175     -4.83900000     -5.39400000
  176     -4.00000000     -3.50800000
  177     -3.93500000     -4.90600000
  178     -5.46900000     -4.74900000
  179     -4.19000000     -4.05700000
  180     -5.50100000     -4.71000000
  181     -3.92200000     -4.98900000
  182     -4.06300000     -5.57900000
  183     -4.01400000     -4.67000000
  184     -5.39700000     -3.81700000
  185     -4.63300000     -5.00300000
  186     -5.65900000     -4.97600000
  187     -4.04200000     -3.80800000
  188     -5.65300000     -5.37800000
  189     -4.04100000     -5.62800000
  190     -4.02700000     -4.42800000
  191     -4.33100000     -5.35900000
  192     -5.52400000     -4.75900000
  193     -5.01000000     -5.22400000
  194     -5.76800000     -6.94100000
  195     -5.43100000     -4.61200000
  196     -5.48400000     -5.45500000
  197     -4.60400000     -4.94400000
  198     -5.82700000     -4.56700000
  199     -5.25100000     -4.52500000
  200     -4.50300000     -5.02900000
  201     -4.82100000     -3.09500000
  202     -4.85200000     -4.38500000
  203     -3.90200000     -2.62700000
  204     -5.56500000     -4.36700000
  205     -4.79800000     -4.48900000
  206     -4.53400000     -3.88200000
  207     -4.55700000     -3.72200000
  208     -4.40600000     -4.38300000
  209     -5.81000000     -4.71300000
  210     -5.43000000     -5.19200000
  211     -4.39500000     -5.01900000
  212     -3.96700000     -3.75600000
  213     -4.03700000     -4.09800000
  214     -4.16000000     -4.35300000
