structure,value
CCN(CCN1C(=O)CN(C1=O)N=Cc1ccc(o1)[N+](=O)[O-])CC,-2.667
CCN(c1cc(C)nc2n1ncn2)CC,-2.198
C#CCC1(CCCCC1)OC(=O)N,-2.883
CC1CC(C)(C)NC(C1)(C)C,-1.802
CN(c1ccc(cc1)/C=N/c1ccccc1C(=O)O)C,-3.649
Ic1ccccc1c1ccccc1,-5.449
CSc1nc(nc(n1)N(C)C)N(C)C,-2.68
Fc1ccc2c(c1)onc2C1CCN(CC1)CCc1c(C)nc2n(c1=O)CCCC2,-5.279
C/C=C(/C(=C/C)/c1ccc(cc1)O)\c1ccc(cc1)O,-4.95
COc1cc(cc(c1OC)OC)C(=O)OC1CCC[C@H]2[C@@H]1CCN(C2)C,-3.571
CC1Cc2c(O1)cccc2,-2.68
N#CCn1c(C)ncc1[N+](=O)[O-],-1.008
O[C@H]1CC[C@]2([C@H](C1)CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2([C@H]1CC[C@@H]2[C@H](CCC(=O)O)C)C)C,-3.95
CN1C(C)(C)CCCC1(C)C,-1.541
O=C(Nc1ccccc1C(=O)N(c1ccccc1)C)CN1CCOCC1,-3.291
OC(=O)C(c1ccccc1)NCc1ccccc1C,-3.942
CCN(CCCNc1nc(c(o1)c1ccccc1)c1ccccc1)CC,-5.147
O=C(NS(=O)(=O)c1ccc(cc1)C)NN1CC2C(C1)CCC2,-4.29
O=C(C(C)(C)C)COc1ccc(cc1)Cl,-3.854
CC(N(C(C)C)CCSC(=O)N1c2cccnc2Sc2c1cccc2C(F)(F)F)C,-6.674
C=C[C@]12CN([C@H]3[C@@H]2[C@]2([C@H]4C[C@@H]1[C@@H]3CO4)C(=O)Nc1c2cccc1)C,-3.032
O[C@@H](c1ccccc1)Cc1ccccc1,-2.52
BrC[C@H]([C@H]([C@@H]([C@@H](CBr)O)O)O)O,-1.198
O=C1OCc2c(N1)cccc2,-1.737
Nc1cccc2c1[nH]nc2,-1.128
O=C1[C@@H]2O[C@@H]2C(=O)C(=C1O)C,-2.545
CCC1=NCCS1,-2.707
ClCCN(c1cc(ccc1C)C(=O)O)CCCl,-4.707
CCCCC1=CC(N(C(C1)(C)C)C(=O)CN1CCCCCC1)(C)C,-6.662
O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ccncc1C,-3.066
CC(CCC(COC(=O)N)(COC(=O)N)C)C,-2.613
S=c1ccc2c(o1)cccc2,-1.802
BrC(C(=O)NC(=O)N)C(C)C,-1.802
CCCCOC(=O)C(=C)C,-2.25
CO[C@@]1(NC(=O)C(c2ccc(cc2)O)C(=O)O)C(=O)N2[C@@H]1OCC(=C2C(=O)O)CSc1nnnn1C,-3.228
O=C(Nc1ccccc1)CN1CCCCC1,-3.108
CCN(C(C(=O)Nc1c(C)cccc1C)C)CC,-3.344
COCC(=O)N(c1c(C)cccc1C)[C@@H](C(=O)OC)C,-1.6
CN(C(=O)c1cccc(c1O)c1ccccc1)C,-2.762
CN1[C@@H]2CC[C@H]1CC(C2)OC(c1ccccc1)c1ccccc1,-4.092
COc1cc(ccc1OC)c1nc2c(s1)cc(cc2)CC(=O)O,-3.78
CCOc1ccc(cc1Cl)/C=C/C(=O)NO,-3.053
