32
process will start at : 
Fri Oct 21 15:31:43 CST 2022
++++++++++++++++++++++++++++++++++++++++
Load GaoDataSet from dataset/new_cui2020.csv ... done (5809 lines, 7.469 seconds) 
# of all graphs/labels:      5808
# of testing graphs/labels:      1162
>>> Training of the Model >>>
Start at:  Fri Oct 21 15:33:08 2022
PID:       26511
# of training graphs/labels: 4646
Learning rate:               1E-03
Batch size:                  64
Maximum epochs:              1000
Output frequency:            1
Params filename prefix:      models/solub
Device:                      cpu
------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch    TrainingLoss        TrainMAE       TrainRMSE         Time(s) SavePrefix
------------------------------------------------------------------------------------------------------------------------------------------------------
         0       6.4698717       6.9592409       8.3689032      21.6964393 models/solub-0
------------------------------------------------------------------------------------------------------------------------------------------------------
Final loss: 0.2578, Final mae: 0.5697, Final mse: 0.7102, Final rmse: 0.8113
Total training time: 18872.2101 seconds
>>> Training of the Model Accomplished! >>>
End at:  Fri Oct 21 20:47:41 2022
    0     -1.46100000     -1.85100000
    1     -7.02000000     -7.09200000
    2     -1.87000000     -2.30500000
    3     -2.71000000     -3.24800000
    4     -7.02600000     -6.83300000
    5     -2.71200000     -3.67800000
    6     -6.70000000     -6.23000000
    7     -7.17600000    -10.66800000
    8     -1.07800000     -0.32000000
    9     -1.66000000     -1.65400000
   10     -2.19000000     -1.51500000
   11     -4.18400000     -3.82900000
   12     -2.90500000     -3.17600000
   13     -1.20800000     -0.82400000
   14     -5.88000000     -4.12100000
   15     -1.60000000     -1.93900000
   16     -5.67800000     -5.48500000
   17     -3.31300000     -3.98800000
   18     -3.28000000     -3.14300000
   19     -3.46500000     -3.37200000
   20     -2.92000000     -4.37300000
   21     -8.04300000     -5.44000000
   22     -4.53700000     -4.86300000
   23     -5.96500000     -4.93500000
   24     -1.52300000     -3.06600000
   25     -1.49600000     -0.99400000
   26     -6.03600000     -5.49700000
   27     -2.06200000     -1.21000000
   28     -1.22000000     -1.69100000
   29     -2.68600000     -2.28800000
   30     -1.19000000     -2.05300000
   31     -4.29000000     -3.90500000
   32     -3.73000000     -3.32600000
   33     -3.52000000     -3.10400000
   34     -2.26600000     -2.51500000
   35     -2.88400000     -2.95700000
   36     -3.24000000     -3.39000000
   37     -4.30300000     -4.68400000
   38     -3.12500000     -2.10600000
   39     -2.19400000     -1.04200000
   40     -2.54800000     -3.65200000
   41     -1.59200000     -1.59500000
   42     -2.21900000     -1.92100000
   43     -3.93300000     -4.76400000
   44     -2.94300000     -2.89000000
   45     -1.52000000     -2.16300000
   46     -2.64000000     -3.22100000
   47     -2.11000000     -2.28400000
   48     -1.74000000     -1.62100000
   49     -2.70900000     -4.58800000
   50     -1.84900000     -2.15700000
   51     -3.29200000     -3.48400000
   52     -2.47500000     -3.07700000
   53     -1.46900000     -1.17300000
   54     -4.34900000     -4.48900000
   55     -4.21000000     -4.26100000
   56     -5.13100000     -6.66700000
   57     -1.42000000     -3.38700000
   58     -4.10900000     -3.36900000
   59     -1.68700000     -2.65300000
