32
process will start at : 
Sat Jun 17 23:51:40 CST 2023
++++++++++++++++++++++++++++++++++++++++
Load GaoDataSet from /lustre/home/qfchen/Mult-Target-Molecular/TAGCN-N-O-feature/dataset/N_O_train_lbl.scv ... done (7001 lines, 140.338 seconds) 
Load GaoDataSet from /lustre/home/qfchen/Mult-Target-Molecular/TAGCN-N-O-feature/dataset/N_O_test_lbl.scv ... done (3001 lines, 59.750 seconds) 
>>> Training of the Model >>>
Start at:  Sat Jun 17 23:55:47 2023
PID:       430962
Learning rate:               1E-03
Batch size:                  32
Maximum epochs:              500
Output frequency:            1
Device:                      cpu
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0           0.563           0.626           0.930           0.156           0.774           0.523           0.723           0.485           0.871          40.309
         1           0.256           0.484           0.700           0.522           0.878           0.096           0.310           0.905           0.960          76.120
         2           0.472           0.578           0.816           0.350           0.820           0.842           0.918           0.170           0.928         111.778
         3           0.194           0.486           0.697           0.526           0.883           0.026           0.162           0.974           0.990         147.193
         4           0.378           0.528           0.756           0.442           0.855           0.893           0.945           0.121           0.949         182.526
         5           0.179           0.491           0.701           0.521           0.885           0.007           0.084           0.993           0.997         217.908
         6           0.182           0.486           0.697           0.526           0.884           0.985           0.992           0.030           0.995         253.284
         7           0.172           0.490           0.700           0.522           0.885           0.920           0.959           0.094           0.963         289.508
         8           0.142           0.489           0.699           0.523           0.885           0.039           0.197           0.962           0.983         326.442
         9           0.247           0.499           0.712           0.505           0.880           0.008           0.089           0.992           0.997         363.603
        10           0.163           0.492           0.702           0.519           0.884           0.780           0.883           0.232           0.921         401.240
        11           0.249           0.497           0.708           0.511           0.883           0.002           0.041           0.998           0.999         438.857
        12           0.205           0.490           0.704           0.516           0.880           0.005           0.068           0.995           0.998         476.550
        13           0.178           0.492           0.702           0.519           0.884           0.026           0.160           0.975           0.989         514.349
        14           0.101           0.490           0.700           0.522           0.885           0.827           0.909           0.186           0.924         552.112
        15           0.163           0.489           0.701           0.521           0.886           0.991           0.996           0.024           0.999         590.009
        16           0.255           0.494           0.704           0.517           0.886           0.759           0.871           0.252           0.905         627.655
        17           0.149           0.489           0.699           0.523           0.887           0.991           0.996           0.024           0.999         665.243
        18           0.219           0.491           0.701           0.521           0.885           0.921           0.960           0.093           0.964         702.467
        19           0.073           0.491           0.701           0.521           0.885           0.002           0.045           0.998           0.999         739.836
