32
process will start at : 
Sat Jun 17 23:40:04 CST 2023
++++++++++++++++++++++++++++++++++++++++
Load GaoDataSet from /lustre/home/qfchen/Mult-Target-Molecular/TAGCN-N-feature/dataset/N_train_lbl.scv ... done (6996 lines, 141.404 seconds) 
Load GaoDataSet from /lustre/home/qfchen/Mult-Target-Molecular/TAGCN-N-feature/dataset/N_test_lbl.scv ... done (3000 lines, 60.246 seconds) 
>>> Training of the Model >>>
Start at:  Sat Jun 17 23:44:50 2023
PID:       290303
Learning rate:               1E-03
Batch size:                  32
Maximum epochs:              500
Output frequency:            1
Device:                      cpu
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0           1.166           0.980           1.307          -0.655           0.305           0.679           0.930           0.129           0.522          38.677
         1           0.881           0.829           1.096          -0.163           0.494           0.609           0.849           0.275           0.633          74.100
         2           0.743           0.739           0.989           0.053           0.613           0.648           0.871           0.237           0.728         109.352
         3           0.683           0.698           0.949           0.128           0.671           0.698           0.906           0.174           0.772         144.571
         4           0.636           0.676           0.919           0.182           0.698           0.402           0.662           0.558           0.781         179.894
         5           0.597           0.650           0.890           0.233           0.722           0.378           0.637           0.591           0.801         215.359
         6           0.552           0.628           0.866           0.274           0.748           0.325           0.588           0.652           0.815         250.723
         7           0.545           0.623           0.865           0.276           0.755           0.308           0.571           0.672           0.831         287.008
         8           0.522           0.612           0.847           0.305           0.767           0.298           0.558           0.687           0.841         324.006
         9           0.509           0.605           0.834           0.327           0.782           0.283           0.544           0.702           0.847         361.333
        10           0.506           0.607           0.842           0.313           0.777           0.523           0.746           0.440           0.832         399.097
        11           0.479           0.595           0.830           0.333           0.794           1.274           1.379          -0.913           0.843         436.875
        12           0.479           0.608           0.843           0.312           0.788           0.726           0.882           0.217           0.862         474.649
        13           0.424           0.570           0.798           0.384           0.818           0.707           0.868           0.243           0.861         512.408
        14           0.455           0.589           0.823           0.344           0.807           0.230           0.488           0.761           0.886         549.484
        15           0.465           0.588           0.817           0.354           0.802           0.262           0.522           0.726           0.879         586.609
        16           0.408           0.556           0.773           0.421           0.829           0.526           0.739           0.451           0.845         623.347
        17           0.407           0.572           0.795           0.388           0.821           0.568           0.768           0.407           0.850         660.284
        18           0.408           0.567           0.794           0.390           0.826           0.215           0.469           0.779           0.898         697.103
        19           0.391           0.551           0.770           0.427           0.833           0.281           0.534           0.713           0.882         735.988
        20           0.376           0.547           0.769           0.428           0.839           0.903           0.990           0.013           0.918         776.387
        21           0.370           0.559           0.780           0.411           0.832           0.854           0.951           0.090           0.914         814.014
        22           0.328           0.538           0.755           0.448           0.850           0.482           0.703           0.502           0.853         850.826
        23           0.415           0.561           0.789           0.398           0.830           1.279           1.370          -0.888           0.868         887.900
        24           0.356           0.546           0.764           0.436           0.843           0.700           0.850           0.273           0.878         924.432
        25           0.340           0.538           0.754           0.449           0.848           0.207           0.458           0.789           0.907         962.008
        26           0.400           0.572           0.795           0.388           0.824           0.620           0.800           0.356           0.857         998.788
        27           0.324           0.528           0.745           0.463           0.854           0.930           0.993           0.007           0.943        1035.531
        28           0.312           0.530           0.746           0.461           0.855           0.254           0.506           0.742           0.895        1072.290
        29           0.315           0.527           0.742           0.466           0.856           0.234           0.486           0.763           0.902        1108.409
        30           0.310           0.526           0.741           0.468           0.857           0.221           0.473           0.775           0.906        1144.601
        31           0.304           0.525           0.740           0.470           0.858           0.337           0.585           0.656           0.876        1180.813
        32           0.303           0.528           0.744           0.463           0.858           0.621           0.793           0.366           0.871        1216.879
        33           0.297           0.532           0.748           0.459           0.857           0.712           0.852           0.270           0.885        1252.664
        34           0.295           0.526           0.741           0.468           0.859           0.708           0.849           0.275           0.886        1288.561
        35           0.283           0.527           0.740           0.470           0.862           0.696           0.840           0.290           0.884        1324.645
        36           0.338           0.536           0.754           0.450           0.851           0.942           0.997           0.000           0.950        1359.637
        37           0.286           0.524           0.737           0.475           0.863           0.288           0.541           0.706           0.890        1394.436
        38           0.255           0.510           0.724           0.493           0.867           0.734           0.862           0.252           0.895        1428.977
        39           0.280           0.524           0.737           0.474           0.864           0.731           0.860           0.255           0.895        1463.524
