32
process will start at : 
Sat Jun 17 23:32:36 CST 2023
++++++++++++++++++++++++++++++++++++++++
Load GaoDataSet from /lustre/home/qfchen/Mult-Target-Molecular/TAGCN-amide-feature/dataset/amide_train_lbl.scv ... done (7001 lines, 153.049 seconds) 
Load GaoDataSet from /lustre/home/qfchen/Mult-Target-Molecular/TAGCN-amide-feature/dataset/amide_test_lbl.scv ... done (3002 lines, 65.683 seconds) 
>>> Training of the Model >>>
Start at:  Sat Jun 17 23:38:12 2023
PID:       448996
Learning rate:               1E-03
Batch size:                  32
Maximum epochs:              500
Output frequency:            1
Device:                      cpu
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         0           1.379           1.137           1.483          -0.619           0.264           0.957           1.225          -0.075           0.565          38.901
         1           1.035           0.915           1.206          -0.071           0.471           0.935           1.194          -0.020           0.664          74.806
         2           0.944           0.860           1.141           0.041           0.540           1.052           1.296          -0.203           0.708         110.715
         3           0.825           0.779           1.048           0.191           0.626           0.735           0.976           0.318           0.759         146.671
         4           0.755           0.737           1.001           0.263           0.678           0.754           0.984           0.306           0.786         182.626
         5           0.709           0.717           0.971           0.306           0.709           0.777           0.998           0.286           0.806         218.693
         6           0.680           0.688           0.932           0.361           0.736           0.739           0.953           0.349           0.825         254.404
         7           0.653           0.674           0.917           0.381           0.754           0.512           0.741           0.606           0.824         291.156
         8           0.599           0.645           0.882           0.427           0.782           0.444           0.685           0.664           0.825         328.680
         9           0.564           0.630           0.860           0.456           0.800           0.380           0.639           0.707           0.838         366.599
        10           0.545           0.621           0.845           0.474           0.810           0.355           0.618           0.726           0.851         404.982
        11           0.516           0.604           0.827           0.497           0.825           0.396           0.644           0.703           0.847         443.481
        12           0.520           0.604           0.831           0.492           0.821           0.404           0.650           0.698           0.851         481.983
        13           0.507           0.596           0.824           0.500           0.827           0.421           0.662           0.686           0.857         520.594
